,index,Facility,Sample Collection Date,Sample Field ID,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTrDA,PFUnA,Units
31,49,Eresco (Erving),9/22/2020,Primary,0.0071325265554842,0.72,0.51,0.22,1.4,0.5,0.64,1.1,0.602746680958261,1.15,0.73,g/kg
32,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,0.0139541374415646,0.75,0.5,0.25,1.3,0.035,0.78,1.1,48.0,0.055,0.75,g/kg
33,51,Eresco (Erving),9/22/2020,Primary,0.0255775065181062,0.170061720245351,0.149370102768865,0.0825367447547653,0.128486146880812,0.235,0.162893764314379,0.158038974671634,140.0,0.235,0.24696037656427,g/kg
34,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,0.0246555723194508,0.54,0.264713431974154,0.169130376867408,0.180963549452708,0.35,1.1,0.571406509286021,10.0,0.55,0.96,g/kg
35,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,0.0246555723194508,0.170061720245351,0.155132338891055,0.0946990730071573,0.187463103686,0.365,1.0,0.929787169042961,13.0,0.6,0.340885188820117,g/kg
36,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,0.0255775065181062,0.53,0.46,0.0825367447547653,0.211649545177032,0.225,0.74,0.58,4.1,0.47,0.61,g/kg
37,55,Eresco (Erving),3/23/2021,Primary,0.0560847090143016,0.69,0.59,0.0156303648318791,0.0919986437018484,0.035,0.87,0.75,6.1,1.15,0.87,g/kg
38,56,Eresco (Erving),3/23/2021,Duplicate,0.0139541374415646,0.67,0.63,0.0361438735591012,0.0919986437018484,0.036,0.9,0.82,7.1,1.15,0.93,g/kg
39,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,0.0139541374415646,0.74,0.56,0.12,0.45,0.034,0.61,0.38,15.0,0.49,0.73,g/kg
40,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,0.0046753293444115,0.65,0.55,0.1,0.36,0.0415,0.61,0.37,17.0,0.48,1.0,g/kg
41,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,0.0176920509415284,0.4,0.165949552898631,0.060097728060961,0.128486146880812,0.1305,0.344,0.309,5.54,0.2605,0.180352313869498,g/kg
42,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,0.0176920509415284,0.426,0.169337721739863,0.060097728060961,0.128486146880812,0.134,0.371,0.316,7.15,0.564,0.180352313869498,g/kg
43,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,0.0074055071834692,2.3,0.155132338891055,0.16,4.4,2.8,1.1,1.6,11.0,0.055,1.2,g/kg
44,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,0.0139541374415646,1.8,1.1,0.19,2.2,0.016,0.58,1.0,9.7,0.026,1.0,g/kg
45,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,0.0139541374415646,1.7,0.0912839263017426,0.064,2.3,0.0155,0.59,1.2,9.6,0.026,0.112852665404751,g/kg
46,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,0.0139541374415646,0.92,0.6,0.08,0.96,0.17,0.36,0.61,6.18,0.29,0.142803069381947,g/kg
47,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,0.0139541374415646,0.89,0.52,0.08,0.91,0.015,0.31,0.58,5.6,0.19,0.0843384459727104,g/kg
48,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,0.0176920509415284,0.598,0.127890231711531,0.0540150965010114,0.926,0.15,0.195073120997832,0.556,6.86,0.505,0.325,g/kg
49,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,0.0176920509415284,0.535,0.127890231711531,0.0540150965010114,0.915,0.1535,0.195073120997832,0.489,8.01,0.52,0.34,g/kg
50,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,0.0176920509415284,1.1,0.56,0.0443305324864466,1.6,0.08,0.35,0.74,0.878217272228268,0.13,0.64,g/kg
51,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,0.125506325063566,0.77,0.43,0.0183194606994166,1.4,0.08,0.31,0.66,0.498784896483582,0.13,0.42,g/kg
52,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,0.0139541374415646,1.0,0.0912839263017426,0.09,1.1,0.015,0.45,0.82,4.7,0.025,0.67,g/kg
53,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,0.12,1.0,0.61,0.1,1.2,0.35,0.47,0.82,5.7,0.025,0.77,g/kg
54,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,0.0046753293444115,0.69,0.4,0.0195346865111152,0.86,0.06,0.3,0.52,5.55,0.21,0.4,g/kg
55,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,0.0358284409174768,0.73,0.45,0.0482149565844133,0.92,0.065,0.28,0.55,5.15,0.21,0.41,g/kg
56,75,Hawk Ridge Compost,10/23/2020,Compost 1,47.0,7.4,2.6,4.0,150.0,0.045,2.4,13.0,13.0,1.15,1.4,g/kg
57,76,Hawk Ridge Compost,10/23/2020,Compost 2,33.0,6.2,0.113684017479792,0.0496234104699262,120.0,0.42,0.350062355299456,11.0,1.6817543061627,1.15,0.372566524314099,g/kg
58,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,65.0,6.0,0.43807335451277,0.0946990730071573,140.0,0.365,0.332445887626539,14.0,1.4193213362843,0.6,0.153938124540895,g/kg
59,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,78.0,7.1,0.270368933439794,0.102607863361954,170.0,0.45,0.350062355299456,16.0,1.81827910706287,0.75,0.19399753587303,g/kg
60,80,Hoosac Water Quality District,9/15/2020, ,31.8,13.7,4.13,4.5,41.3,0.56,3.72,28.8,19.0,0.56,2.2,g/kg
61,82,Hoosac Water Quality District,3/3/2021,Final Compost,35.8,12.2,4.16,4.87,53.8,0.967,3.91,25.7,18.7,0.862,2.22,g/kg
62,83,Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",36.6,12.2,3.93,4.61,51.8,0.93,3.69,25.0,17.8,0.816,2.1,g/kg
63,84,Hoosac Water Quality District,6/2/2021,Final Compost,19.4,8.08,3.6,2.99,29.1,0.787,1.9,14.6,13.1,0.741,1.74,g/kg
64,85,Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",19.6,8.88,4.45,3.08,31.4,0.388,2.25,15.3,14.6,0.775,2.0,g/kg
65,86,Hoosac Water Quality District,6/2/2021,"Field
Blank",0.0366562414720024,0.394265104562522,0.57023948696271,0.117637645532623,0.260142623318484,0.9,0.408768718860102,0.555974948910771,0.877285479942126,0.9,0.265235385540532,g/kg
66,88,Ipswich Compost,9/25/2020, ,1.6,2.4,1.02,0.0962779325170771,10.5,0.366,1.61,2.43,2.32,0.968,2.36,g/kg
67,89,Ipswich Compost,12/30/2020,Primary,1.8,1.68,0.197156778954926,0.938,40.8,0.159,1.49,5.8,1.61,0.3175,0.69,g/kg
68,90,Ipswich Compost,12/30/2020,Duplicate,2.12,2.4,0.835,1.09,44.4,0.153,1.91,6.45,1.97,0.3055,0.87,g/kg
69,91,Ipswich Compost,3/22/2021,Primary,1.14,0.863,0.0980761842492598,0.287,6.78,0.1155,0.352,1.44,1.28,0.231,0.24696037656427,g/kg
70,92,Ipswich Compost,3/22/2021,Duplicate,1.49,1.29,0.213320003958183,0.368,8.54,0.1215,0.481,2.1,1.92,0.2425,0.286907612114722,g/kg
71,93,Ipswich Compost,3/22/2021,Primary,1.14,0.863,0.213320003958183,0.287,6.78,0.1155,0.352,1.44,1.28,0.231,0.125440856032051,g/kg
72,94,Ipswich Compost,3/22/2021,Duplicate,1.49,1.29,0.0980761842492598,0.368,8.54,0.1215,0.481,2.1,1.92,0.2425,0.100545750662656,g/kg
73,95,Ipswich Compost,6/4/2021,Ipswich Compost,2.34,1.83,0.164522857555691,0.725,21.8,0.375,0.567,3.74,3.2,1.15,0.261124721662214,g/kg
74,97,"Merrimack, NH WWTF",9/17/2020, ,14.0,9.14,1.84,2.45,58.1,0.905,8.24,12.4,10.3,0.905,2.31,g/kg
75,98,"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,4.96,3.78,0.232238562959966,1.21,24.2,0.123,3.37,5.23,6.62,0.491,0.249155911448211,g/kg
76,99,"Merrimack, NH WWTF",9/17/2020,Duplicate,4.2,3.22,0.232238562959966,1.0,20.1,0.12,2.75,4.72,6.81,0.4805,0.249155911448211,g/kg
77,101,"Merrimack, NH WWTF",6/2/2021,?,0.0174592488980537,0.0521466588996195,0.180060412920666,0.078391837520147,0.157390441358822,0.375,0.178802127649598,0.287337636228007,0.48393395594691,1.15,0.244343144491018,g/kg
78,104,Montague WPCF,10/26/2020,1,0.0255775065181062,1.5,0.590202547885334,0.196790752410389,2.0,0.375,0.601767387219968,0.357330321104499,0.363616624990822,0.7,0.524235901674602,g/kg
79,105,Montague WPCF,10/26/2020,1 DUPLICATE,0.0255775065181062,0.74,0.264713431974154,0.0962779325170771,2.6,0.375,0.346526896395075,0.357330321104499,0.234280284300583,0.65,0.243811057675546,g/kg
80,106,Montague WPCF,3/16/2021,Primary,0.0068559637348809,0.160393172610763,0.51636220968472,0.245760400565752,0.271534446392527,0.275,0.280585585166838,0.52495528785642,44.0,1.15,0.198588049677639,g/kg
81,107,Montague WPCF,3/16/2021,Duplicate,0.0065709928406991,0.160393172610763,0.245407962837401,0.0825367447547653,0.149569334642436,0.26,0.270027615175518,0.486905698615131,1.22447609438909,1.15,0.129899786832916,g/kg
82,110,MWRA,9/14/2020, ,0.0036125056259212,0.798,0.883,0.120977863440952,1.96,0.255,0.849,0.568,7.84,0.51,0.821,g/kg
83,111,MWRA,9/14/2020,Primary,0.12384169822248,0.8,0.88,0.0223486277334668,1.96,0.255,0.85,0.57,8.0,0.255,0.821,g/kg
84,112,MWRA,9/14/2020,Duplicate,0.0725751329652208,0.88,0.9,0.152929997624263,1.93,0.25,0.84,0.55,9.0,0.25,0.809,g/kg
85,113,MWRA,12/22/2020,Primary,0.0074055071834692,1.13,1.02,0.0436603328499343,1.42,0.2515,0.52,0.791,17.3,0.5,0.106020549917261,g/kg
86,114,MWRA,12/22/2020,Duplicate,0.022380481491209,1.04,0.228763362621717,0.0825367447547653,1.31,0.229,0.495,0.727,15.9,0.4575,0.243811057675546,g/kg
87,115,MWRA,3/11/2021,Primary,0.005674315070592,1.04,6.5,0.0443305324864466,1.81,0.21,0.538,0.901,16.1,0.819,0.29570938274992,g/kg
88,116,MWRA,3/11/2021,Duplicate,0.001208928668755,1.11,6.4,0.0183194606994166,1.9,0.25,0.614,0.888,15.9,0.426,0.29570938274992,g/kg
89,117,Nashua WWTF,2/26/2021,Primary,0.0255775065181062,0.228920000443925,0.275958922914288,0.051990978997972,0.429461407660534,0.5,0.240422019074448,0.669348020677967,1.99191204180403,1.15,0.164637945105151,g/kg
90,118,Nashua WWTF,2/26/2021,Duplicate,0.0760481236532371,0.13412448899276,0.375964422871013,0.102607863361954,0.404336917572789,0.48,0.610124875530121,0.654348061492506,1.87603310067561,1.15,0.127879187852466,g/kg
91,119,City of Newburyport WTP,5/5/2021,A52308,0.0200850069930422,0.160393172610763,0.313025516188638,0.0762935135664042,0.149569334642436,0.1925,0.195073120997832,0.158038974671634,0.644,0.385,0.219628662036984,g/kg
92,120,City of Newburyport WTP,5/5/2021,A52309,0.0200850069930422,0.15481773977127,0.204482335073832,0.0702023777469444,0.149569334642436,0.1805,0.190404185500979,0.14309715081766,0.762,0.361,0.208998840120817,g/kg
93,122,Newburyport,8/4/2021,A54268,0.0246555723194508,0.170061720245351,0.232238562959966,0.0844830996442628,0.187463103686,0.2525,0.244995476820461,0.171804218036342,0.866,0.505,0.474057606652889,g/kg
94,123,Newburyport,8/4/2021,A54269,0.0255775065181062,0.190295282829995,0.26151517647623,0.0913825746880076,0.210221649520855,0.3175,0.280585585166838,0.234338682787544,1.1,0.635,0.260903747746715,g/kg
95,125,North Chelmsford Water District,3/10/2021,Primary,0.005674315070592,0.214614080578369,0.126776575258345,0.0641783919666803,0.0603189554579875,0.17,0.280405290745242,0.369197448395844,1.06039379942607,1.15,0.26003235199488,g/kg
96,126,North Chelmsford Water District,3/10/2021,Duplicate,0.0188789180186536,0.15481773977127,0.214839158322121,0.0742398134417708,0.128486146880812,0.205,0.296906746247282,0.427088562978201,1.11494539902456,1.15,0.125440856032051,g/kg
97,128,Ocean Spray Middleborough,3/12/2021,Primary,0.0384768300183654,0.715422630119078,0.31051498756659,0.0575342419746129,0.35921442858996,1.05,0.27337586942243,0.202501880464655,1.00586737443731,2.105,2.105,g/kg
98,129,Ocean Spray Middleborough,3/12/2021,Duplicate,0.0315242473256083,0.344875576808746,0.281250410024706,0.11316562322599,0.35291503527802,0.69,0.369556924039356,0.486905698615131,0.782082931244186,1.375,0.29570938274992,g/kg
99,132,Resource Management Inc,11/16/2020,Primary,0.0814683802805161,0.289021475650862,0.164722890267139,0.0548129345490345,0.535340161629646,0.7,0.257150271907417,1.26900205461393,2.27839072169579,1.15,0.169025004213276,g/kg
100,133,Resource Management Inc,11/16/2020,Duplicate,0.007955719185044,0.289021475650862,0.488257702358781,0.224350925335642,0.117739786661109,0.7,0.589430470045922,0.422321424073502,2.29977238358829,1.15,0.401118306459356,g/kg
101,134,Resource Management Inc RMF,10/6/2020,Primary,0.0478975665178774,3.7,0.313025516188638,0.0661760139617586,5.4,0.17,0.195073120997832,2.8,21.0,1.15,0.167522553765755,g/kg
102,135,Resource Management Inc RMF,10/6/2020,Duplicate,0.0176920509415284,5.4,0.333239103148448,0.0702023777469444,6.1,0.195,0.214595445387047,3.9,24.0,1.15,0.180352313869498,g/kg
103,136,Resource Management Inc RMF,6/30/2021,CPM,0.0139541374415646,0.63,0.53,0.0321461541068908,0.156027297700212,0.0445,0.49,0.79,0.424251787769625,0.43,0.75,g/kg
104,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,0.0139541374415646,0.11033479469227,0.51,0.0321461541068908,0.0477435300935443,0.0445,0.42,0.78,0.424251787769625,0.4,0.79,g/kg
105,138,Rockport WTP,9/14/2020,PRIMARY SAMPLE,0.0384768300183654,0.417509779916864,0.457192462336133,0.120622578653026,0.289104375807347,1.0,0.425189357486166,0.346471369881991,0.969362240037244,1.0,0.269476524628659,g/kg
106,139,Rockport WTP,9/14/2020,Duplicate,0.0315242473256083,0.344875576808746,0.26151517647623,0.11316562322599,0.221176556678343,0.685,0.369556924039356,0.486905698615131,2.64,0.685,0.260903747746715,g/kg
107,140,Rockport WTP,5/13/2021,Primary,0.0176920509415284,0.10313451432389,0.149370102768865,0.0580480988627735,0.128486146880812,0.27,0.29,0.8,1.54,0.2425,0.180352313869498,g/kg
108,141,Rockport WTP,5/13/2021,Duplicate,0.0176920509415284,0.15481773977127,0.142227019085621,0.0540150965010114,0.128486146880812,0.31,0.3,0.79,1.8,0.2255,0.180352313869498,g/kg
109,150,Somerset Water & Sewer Dept,10/27/2020,Primary,8.8,8.4,3.9,2.8,27.0,0.175,0.206823134874205,16.0,13.0,0.29,0.170727830466673,g/kg
110,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,7.1,7.1,2.9,2.4,18.0,0.165,0.118056833970615,13.0,11.0,0.275,0.0952033023305554,g/kg
111,152,Somerset Water & Sewer Dept,1/19/2021,Primary,32.0,20.0,6.4,7.0,69.0,0.26,3.8,37.0,19.0,1.15,0.260250368172873,g/kg
112,153,Somerset Water & Sewer Dept,1/19/2021,Duplicate,37.0,20.0,8.9,6.6,70.0,0.26,3.9,29.0,22.0,1.15,0.190848066349796,g/kg
113,154,Somerset Water & Sewer Dept,4/26/2021,Primary ,39.0,19.0,3.4,9.1,53.0,1.2,4.5,61.0,21.0,1.15,1.9,g/kg
114,155,Somerset Water & Sewer Dept,4/26/2021,Duplicate,37.0,16.0,3.8,7.8,57.0,0.81,4.0,50.0,17.0,1.15,2.0,g/kg
115,158,Soundview Vermont Holdings,3/1/2021,Primary,0.0246555723194508,1.8,2.3,0.0946990730071573,0.0880090046777248,0.375,1.5,1.34972383407656,16.0,1.7,2.8,g/kg
116,159,Soundview Vermont Holdings,3/1/2021,SVH Duplicate,0.0255775065181062,1.5,0.113684017479792,0.0946990730071573,0.353238729183852,0.38,1.7,0.788400804398785,19.0,1.4,2.1,g/kg
117,163,"Southbridge, MA",12/4/2020,Primary sample,1.24,3.41,0.238889418231822,0.110153824915926,14.3,0.515,1.55,4.33,6.7,0.515,0.254170723818411,g/kg
118,164,"Southbridge, MA",12/4/2020,Duplicate,1.06,3.25,0.232238562959966,0.204513198084283,12.6,0.485,1.45,3.99,6.44,0.485,0.162144833517487,g/kg
119,165,"Southbridge, MA",2/11/2021,Primary,1.39,2.62,0.716,0.733,11.1,0.242,1.49,3.67,5.03,0.2335,0.576,g/kg
120,166,"Southbridge, MA",2/11/2021,Duplicate,1.32,2.49,0.839,0.748,10.2,0.1145,1.41,3.49,4.8,0.229,0.582,g/kg
121,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,0.33,1.0,0.42,0.34,1.1,0.11,0.46,1.4,3.5,1.15,0.34,g/kg
122,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,0.32,0.7,0.28,0.31,1.1,0.09,0.4,1.1,2.8,1.15,0.23,g/kg
123,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,0.4,0.65,0.26,0.39,2.0,0.0195,0.29,1.0,2.3,1.15,0.112852665404751,g/kg
124,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,0.43,0.64,0.23,0.32,2.2,0.02,0.29,0.9,2.1,1.15,0.112852665404751,g/kg
125,175,Weymouth Water Dpt,2/8/2021,North Field Primary,0.0478975665178774,0.15481773977127,0.116491874422302,0.0861237911224536,0.0919986437018484,0.101,0.123879423347677,0.0890645040330524,0.989,0.342,0.112852665404751,g/kg
126,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,0.0176920509415284,0.165261046387644,0.142227019085621,0.0641783919666803,0.112088908544387,0.1915,0.229956789169615,0.127488037504062,1.68,0.645,0.154226411343682,g/kg
127,177,Weymouth Water Dpt,2/8/2021,South Field Primary,0.0051947300335172,0.15481773977127,0.116491874422302,0.0861237911224536,0.0919986437018484,0.086,0.123879423347677,0.0890645040330524,0.757,0.29,0.112852665404751,g/kg
128,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,0.0158710162470779,0.15481773977127,0.159542762093837,0.0413073254228139,0.0919986437018484,0.046,0.123879423347677,0.0890645040330524,0.854,0.242,0.112852665404751,g/kg
129,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,0.0683554129094032,0.383476978123927,0.131861153735178,0.0862628809073957,0.149569334642436,0.3635,0.315155059580527,0.171804218036342,21.1,1.23,0.180352313869498,g/kg
130,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,0.0246555723194508,0.264522208540414,0.228763362621717,0.0879769450872219,0.149569334642436,0.393,0.350062355299456,0.178222790683372,23.6,0.4545,0.190848066349796,g/kg
131,181,Weymouth Water Dpt,2/8/2021,Lagoon B Primary,0.0255775065181062,0.349294019721044,0.264713431974154,0.204513198084283,0.058797787233409,0.66,0.39903254309951,0.369197448395844,37.2,2.23,0.382690083069841,g/kg
132,182,Weymouth Water Dpt,2/8/2021,Lagoon B Duplicate,0.0255775065181062,0.349294019721044,0.264713431974154,0.051990978997972,0.204633239288165,0.655,0.39903254309951,0.369197448395844,34.4,2.21,0.127879187852466,g/kg
133,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,0.0419110383397056,0.15481773977127,0.116491874422302,0.0413073254228139,0.0919986437018484,0.083,0.123879423347677,0.0890645040330524,4.99,0.28,0.112852665404751,g/kg
134,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,0.0176920509415284,0.15481773977127,0.127890231711531,0.0491281266801781,0.10384778331481,0.1235,0.152787931065702,0.118485262066588,7.12,0.418,0.147618679876962,g/kg
135,185,Weymouth Water Dpt,4/14/2021,North Field Primary,0.0384768300183654,0.42687840395116,0.305045200178878,0.120622578653026,0.35921442858996,1.03,0.428520336872945,0.586993666077377,3.48,2.06,2.06,g/kg
136,186,Weymouth Water Dpt,4/14/2021,North Field Duplicate,0.0421826626850419,0.503438862723685,0.321478771666585,0.129408390124536,0.424334926683975,1.82,0.458243491631408,0.729034989596791,10.6,3.64,3.64,g/kg
137,187,Weymouth Water Dpt,7/22/2021,AJB NORTH,0.0449399122381835,0.549370630687684,5.65,0.136836052027372,0.521837370882003,2.83,0.491561199090559,0.881311279764977,1.79883387933894,5.65,5.65,g/kg
138,188,Weymouth Water Dpt,7/22/2021,AJB NORTH FIELD DUPLICATE,0.0449399122381835,0.549370630687684,5.6,0.136836052027372,0.202261496237458,2.805,0.491561199090559,0.881311279764977,1.79883387933894,5.6,5.6,g/kg
