,report,date_sampled,sample_id,lab,Matrix,Units,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA
412,FA68404 - 308 Chestnut - 09-25-2019 Final.pdf,09/25/19,308-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.75,0.355,0.355,140.0,82.6,0.355,35.6,349.0,58.5,0.355,0.355,0.355
413,FA68409 - 8 Beechnut - 09-25-2019 Final.pdf,09/25/19,8-BEECHNUT,SGS,DW - Drinking Water,ng/l,7.4,0.355,0.355,2.85,0.355,0.355,0.355,8.39,4.29,0.355,0.355,0.355
414,FA68410 - 300 Chestnut -09-25-2019 Final.pdf,09/25/19,300-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.77,0.355,0.355,190.0,116.0,0.355,40.7,450.0,59.2,0.355,0.355,0.355
415,FA68411 - 341 Chestnut - 09-25-2019 Final.pdf,09/25/19,341-CHEST-RAW,SGS,DW - Drinking Water,ng/l,5.37,0.355,0.355,5.28,9.94,2.94,0.355,15.8,4.61,0.355,0.355,0.355
416,FA68412 - 359 Chestnut - 09-25-2019 Final.pdf,09/25/19,359-CHEST-RAW,SGS,DW - Drinking Water,ng/l,4.46,0.355,0.355,7.35,10.1,0.355,0.355,16.2,4.05,0.355,0.355,0.355
417,FA68414 - 3 Beechnut - 09-25-2019 Final.pdf,09/25/19,3-BEECH-RAW,SGS,DW - Drinking Water,ng/l,4.34,0.355,0.355,15.7,18.8,2.54,0.355,34.2,5.6,0.355,0.355,0.355
418,FA68620 - 296 Chestnut - 10-02-2019 Final.pdf,10/02/19,296-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.45,0.355,0.355,189.0,115.0,0.355,43.2,414.0,57.1,0.355,0.355,0.355
419,FA68622 - 290 Chestnut 10-02-2019 Reissued Final.pdf,10/02/19,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.34,2.44,0.355,192.0,112.0,0.355,44.9,482.0,66.2,0.355,0.355,0.355
420,FA68622 - 290 Chestnut 10-02-2019 Revised.pdf,10/02/19,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.34,2.44,0.355,192.0,112.0,0.355,44.9,482.0,66.2,0.355,0.355,0.355
421,FA68622 - 290 Chestnut 10-02-2019 to be revised.pdf,10/02/19,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,27.1,23.7,0.355,2.61,54.2,3.61,0.355,0.355,0.355
422,FA68623 - 264 Chestnut - 10-02-2019 Final.pdf,10/02/19,264-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,28.5,24.4,0.355,3.01,58.3,4.09,0.355,0.355,0.355
423,FA68633 - 305 Chestnut - 10-02-2019 Final.pdf,10/02/19,305-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,0.355,0.355,0.355,0.355,3.35,0.355,0.355,0.355,0.355
424,FA68635 - 9 Beechnut - 10-02-2019 Final.pdf,10/02/19,9-BEECH-RAW,SGS,DW - Drinking Water,ng/l,3.43,0.355,0.355,9.72,10.8,0.355,0.355,21.1,3.32,0.355,0.355,0.355
425,FA68636 - 5 Beechnut - 10-02-2019 Final.pdf,10/02/19,5-BEECH-RAW,SGS,DW - Drinking Water,ng/l,4.66,0.355,0.355,10.1,15.0,0.355,0.355,20.3,4.04,0.355,0.355,0.355
426,FA68637 - 3 Stony 10-02-2019 Final.pdf,10/02/19,3-STONY BROOK-RAW,SGS,DW - Drinking Water,ng/l,0.355,5.53,0.355,46.3,27.0,0.355,23.1,96.3,80.4,0.355,0.355,0.355
427,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,10/23/19,300-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.95,0.355,0.355,206.0,129.0,0.355,41.0,443.0,51.8,0.355,0.355,0.355
428,FA69266 - 307 Chestnut - 10-23-2019 Final.pdf,10/23/19,307-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,115.0,70.1,0.355,29.3,274.0,38.7,0.355,0.355,0.355
429,FA69267 - 308 Chestnut - 10-23-2019 Final.pdf,10/23/19,308-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.37,0.355,0.355,162.0,98.7,0.355,38.6,394.0,57.2,0.355,0.355,0.355
430,FA69275 - 3 Beechnut - 10-23-2019 Final.pdf,10/23/19,3-BEECH-RAW,SGS,DW - Drinking Water,ng/l,4.62,0.355,0.355,13.7,19.7,2.35,0.355,32.4,5.86,0.355,0.355,0.355
431,FA69276 - 341 Chestnut - 10-23-2019 Final.pdf,10/23/19,341-CHEST-RAW,SGS,DW - Drinking Water,ng/l,4.88,0.355,0.355,4.33,8.79,2.53,0.355,14.4,4.17,0.355,0.355,0.355
432,FA69277 - 343 Chestnut - 10-23-2019 Final.pdf,10/23/19,343-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.42,0.355,0.355,6.86,8.22,0.355,0.355,15.8,1.97,0.355,0.355,0.355
433,FA69278 - 359 Chestnut - 11-04-2019 Final.pdf,10/23/19,359-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.85,0.355,0.355,7.15,9.74,0.355,0.355,17.6,4.45,0.355,0.355,0.355
434,FA69693 - 3 Stony 11-06-2019 Final.pdf,11/06/19,3-STONY BROOK-RAW,SGS,DW - Drinking Water,ng/l,2.3,6.69,0.355,50.7,27.3,0.355,28.0,105.0,109.0,0.355,0.355,0.355
435,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,11/06/19,305-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,0.355,0.355,0.355,0.355,3.84,0.355,0.355,0.355,0.355
436,FA69696 - 343 Chestnut - 11-06-2019 Final.pdf,11/06/19,343-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.65,0.355,0.355,7.29,8.19,0.355,0.355,15.1,0.355,0.355,0.355,0.355
437,FA69697 - 5 Beechnut - 11-06-2019 Final.pdf,11/06/19,5-BEECH-RAW,SGS,DW - Drinking Water,ng/l,5.76,0.355,0.355,12.2,16.6,2.43,0.355,24.6,5.23,0.355,0.355,0.355
438,FA69701 - 264 Chestnut - 11-06-2019 Final.pdf,11/06/19,264-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,28.7,23.6,0.355,2.9,60.9,3.46,0.355,0.355,0.355
439,FA69702 - 296 Chestnut - 11-06-2019 Final.pdf,11/06/19,296-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.47,0.355,0.355,180.0,106.0,0.355,43.5,422.0,63.5,0.355,0.355,0.355
440,FA69703 - 290 Chestnut 11-06-2019 Final.pdf,11/06/19,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.32,3.11,0.355,179.0,104.0,0.355,48.8,396.0,88.9,0.355,0.355,0.355
441,FA70182 - 9 Beechnut - 11-20-2019 Final.pdf,11/20/19,9-BEECH-RAW,SGS,DW - Drinking Water,ng/l,3.56,0.355,0.355,7.46,9.03,1.79,0.355,16.4,2.26,0.355,0.355,0.355
442,FA70183 - 307 Chestnut - 11-20-2019 Final.pdf,11/20/19,307-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,85.8,52.6,0.355,21.2,198.0,30.9,0.355,0.355,0.355
443,FA70187 - 3 Beechnut - 11-20-2019 Final.pdf,11/20/19,3-BEECH-RAW,SGS,DW - Drinking Water,ng/l,3.99,0.355,0.355,9.98,23.9,0.355,0.355,21.7,4.28,0.355,0.355,0.355
444,FA70189 - 341 Chestnut - 11-20-2019 Final.pdf,11/20/19,341-CHEST-RAW,SGS,DW - Drinking Water,ng/l,6.39,0.355,0.355,4.21,9.22,2.26,0.355,12.9,3.98,0.355,0.355,0.355
445,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,11/20/19,359-CHEST-RAW,SGS,DW - Drinking Water,ng/l,4.01,0.355,0.355,6.55,7.97,0.355,0.355,12.9,2.9,0.355,0.355,0.355
446,FA70569 - 5 Beechnut - 12-04-2019 Final.pdf,12/04/19,5-BEECH-RAW,SGS,DW - Drinking Water,ng/l,6.07,0.355,0.355,13.3,17.7,2.77,0.355,25.8,3.88,0.355,0.355,0.355
447,FA70572 - 264 - 12-04-2019 Final.pdf,12/04/19,264-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,31.5,25.6,0.355,2.96,61.0,3.64,0.355,0.355,0.355
448,FA70573 - 305 Chestnut - 12-04-2020 Final.pdf,12/04/19,305-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,3.04,0.355,0.355,0.355,6.41,4.11,0.355,0.355,0.355
449,FA70575 - 343 Chestnut - 12-04-2019 Final.pdf,12/04/19,343-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.62,0.355,0.355,6.42,8.34,0.355,0.355,15.1,0.355,0.355,0.355,0.355
450,FA70577 - 3 Stony 12-04-2019 Final.pdf,12/04/19,3-STONY-RAW,SGS,DW - Drinking Water,ng/l,2.56,9.04,0.355,61.2,35.2,0.355,32.6,128.0,132.0,0.355,0.355,0.355
451,FA70578 - 290 Chestnut 12-04-2019 Final.pdf,12/04/19,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.53,4.0,0.355,199.0,120.0,0.355,54.7,436.0,92.7,0.355,0.355,0.355
452,FA70579 - 300 Chestnut - 12-04-2019 Final.pdf,12/04/19,300-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.73,0.355,0.355,204.0,129.0,0.355,47.0,453.0,65.4,0.355,0.355,0.355
453,FA70581 - 308 Chestnut - 12-04-2019.pdf,12/04/19,308-CHEST-RAW,SGS,DW - Drinking Water,ng/l,1.98,0.355,0.355,104.0,65.0,0.355,28.7,259.0,51.7,0.355,0.355,0.355
454,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,12/11/19,3-BEECH-RAW,SGS,DW - Drinking Water,ng/l,8.03,0.355,0.355,21.6,47.0,3.19,0.355,49.1,7.86,0.355,0.355,0.355
455,FA71422 - 300 Chestnut - 01-08-2020 Final.pdf,01/08/20,300-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.7,0.355,0.355,191.0,118.0,0.355,43.0,417.0,66.8,0.355,0.355,0.355
456,FA71424 - 296 Chestnut - 01-08-2020 Final.pdf,01/08/20,296-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.1,0.355,0.355,159.0,97.2,0.355,39.0,339.0,60.2,0.355,0.355,0.355
457,FA71425 - 359 Chestnut - 01-08-2020 Final.pdf,01/08/20,359-CHEST-RAW,SGS,DW - Drinking Water,ng/l,5.1,0.355,0.355,9.1,12.6,1.7,0.355,20.4,4.5,0.355,0.355,0.355
458,FA71426 - 5 Beechnut - 01-08-2020 Final.pdf,01/08/20,5-BEECH-RAW,SGS,DW - Drinking Water,ng/l,5.2,0.355,0.355,12.3,15.6,2.4,0.355,24.9,3.6,0.355,0.355,0.355
459,FA71439 - 343 Chestnut - 01-08-2020 Final.pdf,01/08/20,343-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.2,0.355,0.355,6.0,7.1,0.355,0.355,13.7,2.0,0.355,0.355,0.355
460,FA71440 - 341 Chestnut - 01-08-2020 Final.pdf,01/08/20,341-CHEST-RAW,SGS,DW - Drinking Water,ng/l,5.7,0.355,0.355,4.0,7.9,2.4,0.355,12.1,4.0,0.355,0.355,0.355
461,FA71441 - 307 Chestnut - 01-08-2020 Final.pdf,01/08/20,307-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,98.9,60.8,0.355,25.5,247.0,34.7,0.355,0.355,0.355
462,FA71442 - 305 Chestnut - 01-08-2020 Final.pdf,01/08/20,305-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,0.355,0.355,0.355,0.355,4.3,0.355,0.355,0.355,0.355
463,FA71443 - 264 Chestnut - 01-08-2020 Final.pdf,01/08/20,264-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,17.3,14.1,0.355,0.355,39.5,3.4,0.355,0.355,0.355
464,FA71444 - 308 Chestnut - 01-08-2020 Final.pdf,01/08/20,308-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.1,0.355,0.355,137.0,83.4,0.355,34.5,350.0,59.2,0.355,0.355,0.355
465,FA71445 - 9 Beechnut - 01-08-2020 Final.pdf,01/08/20,9-BEECH-RAW,SGS,DW - Drinking Water,ng/l,3.7,0.355,0.355,7.2,7.6,0.355,0.355,15.8,2.8,0.355,0.355,0.355
466,FA71447 - 3 Stony 01-08-2020 Final.pdf,01/08/20,3-STONY-RAW,SGS,DW - Drinking Water,ng/l,2.4,10.6,0.355,69.1,37.6,0.355,39.8,151.0,162.0,0.355,0.355,0.355
467,FA72304 - 307 Chestnut - 02-27-2020 Final.pdf,02/05/20,307-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.1,0.355,0.355,124.0,75.5,0.355,37.2,293.0,55.5,0.355,0.355,0.355
468,FA72305 - 290 Chestnut 02-05-2020 Final.pdf,02/05/20,290-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.3,3.2,0.355,185.0,112.0,0.355,50.4,355.0,86.4,0.355,0.355,0.355
469,FA72306 - 308 Chestnut - 02-05-2020 Final.pdf,02/05/20,308-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.8,0.355,0.355,140.0,88.1,0.355,40.6,333.0,72.8,0.355,0.355,0.355
470,FA72307 - 300 Chestnut - 02-05-2020 Final.pdf,02/05/20,300-CHEST-RAW,SGS,DW - Drinking Water,ng/l,2.7,0.355,0.355,187.0,118.0,0.355,42.5,404.0,66.6,0.355,0.355,0.355
471,FA72311 - 341 Chestnut - 02-05-2020 Final.pdf,02/05/20,341-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,0.355,0.355,0.355,0.355,3.5,0.355,0.355,0.355,0.355
472,FA72312 - 305 Chestnut - 02-05-2020 FInal.pdf,02/05/20,305-CHEST-RAW,SGS,DW - Drinking Water,ng/l,6.0,0.355,0.355,3.9,8.9,3.0,0.355,13.1,4.2,0.355,0.355,0.355
473,FA72313 - 296 Chestnut - 02-05-2020 Final.pdf,02/05/20,296-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,104.0,65.6,0.355,24.1,252.0,40.1,0.355,0.355,0.355
474,FA72314 - 3 Stony Brook 02-05-2020 Final.pdf,02/05/20,3-STONY-RAW,SGS,DW - Drinking Water,ng/l,2.9,10.9,0.355,72.2,42.2,0.355,37.8,156.0,161.0,0.355,0.355,0.355
475,FA72315 - 343 Chestnut - 02-27-2020 Final.pdf,02/05/20,343-CHEST-RAW,SGS,DW - Drinking Water,ng/l,3.5,0.355,0.355,5.9,7.2,1.9,0.355,13.2,2.1,0.355,0.355,0.355
476,FA72316 - 264 Chestnut - 02-05-2020 Final.pdf,02/05/20,264-CHEST-RAW,SGS,DW - Drinking Water,ng/l,0.355,0.355,0.355,22.5,20.6,0.355,2.1,47.9,3.1,0.355,0.355,0.355
477,FA72320 - 3 Beechnut - 02-27-2020 Final.pdf,02/05/20,3-BEECH-RAW,SGS,DW - Drinking Water,ng/l,6.3,0.355,0.355,14.0,17.6,2.0,0.355,29.1,4.0,0.355,0.355,0.355
478,FA72321 - 5 Beechnut - 02-05-2020 Final.pdf,02/05/20,5-BEECH-RAW,SGS,DW - Drinking Water,ng/l,5.4,0.355,0.355,10.6,14.3,2.2,0.355,22.4,3.5,0.355,0.355,0.355
479,FA72323 - 9 Beechnut - 02-05-2020 Final.pdf,02/05/20,9-BEECH-RAW,SGS,DW - Drinking Water,ng/l,3.4,0.355,0.355,7.0,8.4,0.355,0.355,15.4,2.9,0.355,0.355,0.355
480,Gregory Hill 14 20J0409_2 2020-10-26.pdf,10/1/2020,20J0409-01,Con-Test,Drinking Water,ng/l,3.6,1.0052348335,1.0052348335,1.0052348335,2.7,11.0,1.0052348335,3.6,3.7,1.005255403,1.0052348335,1.0052348335
481,Homeowner Test - FA66116.pdf,07/17/19,343 CHESTNUT RAW,SGS,DW - Drinking Water,ng/l,3.57,0.355,0.355,6.5,7.98,1.73,0.355,13.7,2.57,0.355,0.355,0.355
482,Homeowner Test - FA66116.pdf,07/17/19,343 CHESTNUT TAP1,SGS,DW - Drinking Water,ng/l,2.78,0.355,0.355,3.83,6.55,0.355,0.355,6.44,0.355,0.355,0.355,0.355
483,Homeowner Test - FA66116.pdf,07/17/19,343 CHESTNUT TAP2,SGS,DW - Drinking Water,ng/l,1.21,0.355,0.355,2.3,4.05,0.355,0.355,3.67,0.355,0.355,0.355,0.355
484,Hubbardston 19 20K1195_2 2020-12-14.pdf,11/21/2020,20K1195-01,Con-Test,Drinking Water,ng/l,3.1,1.0052348335,1.0052348335,1.0052348335,1.0052348335,13.0,1.0052348335,1.0052348335,1.20092955,1.005255403,1.0052348335,1.0052348335
485,Hubbardston 23 20J0420_2 2020-10-26.pdf,10/2/2020,20J0420-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,2.6,2.3,1.005255403,1.0052348335,1.0052348335
486,Hubbardston 35 20K0956_2 2020-08-20.pdf,11/11/2020,20K0956-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,7.5,8.4,1.005255403,1.0052348335,1.0052348335
487,Hubbardston 42 20G1074_2 2020-08-12-20.pdf,7/23/2020,20G1074-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,7.5,8.2,1.005255403,1.0052348335,1.0052348335
488,Hubbardston 44 20G1090_2 2020-08-11.pdf,7/23/2020,20G1090-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,2.1,2.2,1.0756849315,1.0052348335,7.1,5.6,1.005255403,1.0052348335,1.0052348335
489,Hubbardston 7 20J0406_2 2020-10-26.pdf,10/1/2020,20J0406-01,Con-Test,Drinking Water,ng/l,3.4,1.0052348335,1.0052348335,1.0052348335,1.0052348335,7.1,1.0052348335,2.1,3.2,1.005255403,1.0052348335,1.0052348335
490,L1924635 - 308 Chestnut - 06-10-2019 Final.pdf,06/10/19 12:05,308-CH-RAW,Alpha,Dw,ng/l,3.59,0.296,0.298,153.5,130.0,0.221,48.5,426.5,65.5,0.19875,0.2335,0.197
491,L1926236 - 3 Stony 06-18-2019 Final.pdf,06/18/19 10:50,3 STONY BROOK,Alpha,Dw,ng/l,2.56,6.13,0.298,60.2,47.4,0.221,33.5,138.0,103.0,0.19875,0.2335,0.197
492,L1926567 - 305 Chestnut - 06-19-2019 Final.pdf,06/19/19 09:43,305 CHEST,Alpha,Dw,ng/l,0.1305,0.296,0.298,11.55,8.145,0.221,5.32,26.6,13.3,0.19875,0.2335,0.197
493,L1926569 - 290 Chestnut 6-19-19 Final.pdf,06/19/19 11:40,290 CHEST,Alpha,Dw,ng/l,3.21,2.9,0.298,193.0,167.0,0.221,62.6,511.0,85.8,0.19875,0.2335,0.197
494,L1926570 - 300 Chestnut - 06-19-2019 Final.pdf,06/19/19 10:45,300 CHEST,Alpha,Dw,ng/l,2.94,0.296,0.298,185.0,156.0,0.221,53.2,512.0,62.7,0.19875,0.2335,0.197
495,L1926572 - 307 Chestnut - 06-19-2019 Final.pdf,06/19/19 10:15,307 CHEST,Alpha,Dw,ng/l,0.1305,0.296,0.298,77.95,61.55,0.221,20.5,194.5,27.85,0.19875,0.2335,0.197
496,L1927592 - 296 Chestnut - 06-25-2019 Final.pdf,06/25/19 09:50,296 CHEST,Alpha,Dw,ng/l,2.47,0.296,0.298,150.0,112.0,0.221,37.4,361.0,54.2,0.19875,0.2335,0.197
497,L1928540 - 341 Chestnut - 06-28-2019 Final.pdf,06/28/19 13:50,341 CHEST,Alpha,Dw,ng/l,4.74,0.296,0.298,5.5,12.2,3.9,0.219,16.6,4.3,0.19875,0.2335,0.197
498,L1929227 - 7 Beechnut - 07-03-2019 Final.pdf,07/03/19 11:27,7 BEACH,Alpha,Dw,ng/l,3.53,0.296,0.298,8.49,9.81,0.221,0.219,13.6,0.2265,0.19875,0.2335,0.197
499,L1929231 - 3 Beechnut - 07-03-2019 Final.pdf,07/03/19 10:49,3 BEACH,Alpha,Dw,ng/l,7.4,0.296,0.298,22.3,19.9,3.55,0.219,45.7,2.9,0.19875,0.2335,0.197
500,L1929234 - 264 Chestnut - 07-03-2019 Final.pdf,07/03/19 08:26,264-CHEST,Alpha,Dw,ng/l,0.1305,0.296,0.298,28.6,29.4,0.221,2.67,57.7,3.63,0.19875,0.2335,0.197
501,L1929543 - 8 Beachnut - 07-08-2019 Final.pdf,07/08/19 12:01,8-BEACH,Alpha,Dw,ng/l,7.27,0.296,0.298,3.84,4.14,0.221,0.219,11.8,3.84,0.19875,0.2335,0.197
502,L1929544 - 359 Chestnut 07-08-19 Final.pdf,07/08/19 15:37,359-CHEST,Alpha,Dw,ng/l,5.175,0.296,0.298,7.22,14.6,1.88,0.219,18.45,4.135,0.19875,0.2335,0.197
503,L1929548 - 10 Beachnut 07-08-19 Final.pdf,07/08/19 12:55,10-BEACH,Alpha,Dw,ng/l,4.4399999999999995,0.296,0.298,4.445,17.0,0.221,0.219,16.5,0.2265,0.19875,0.2335,0.197
504,L1930183 - 307 Chestnut - 07-10-19 final.pdf,07/10/19 10:48,307-CHEST-RAW,Alpha,Dw,ng/l,2.075,0.296,0.298,138.5,111.0,0.221,40.05,296.0,46.95,0.19875,0.2335,0.197
505,L1930186 - 290 Chestnut 07-10-19 Final.pdf,07/10/19 11:50,290-CHEST-RAW,Alpha,Dw,ng/l,3.4,3.37,0.298,236.0,188.5,0.221,61.900000000000006,494.0,92.3,0.19875,0.2335,0.197
506,L1930188 - 3 Stony 07-10-2019 Final.pdf,07/10/19 12:22,3-STONY-RAW,Alpha,Dw,ng/l,2.43,5.56,0.298,59.2,44.4,0.221,29.2,124.0,91.5,0.19875,0.2335,0.197
507,L1930189 - 308 Chestnut - 07-10-2019 Final.pdf,07/10/19 14:02,308-CHEST-RAW,Alpha,Dw,ng/l,3.175,0.296,0.298,157.0,121.0,0.221,43.7,356.5,71.75,0.19875,0.2335,0.197
508,L1930190 - 296 Chestnut - 07-10-2019 Final.pdf,07/10/19 15:24,296-CHEST-RAW,Alpha,Dw,ng/l,2.045,0.296,0.298,161.0,123.0,0.221,37.55,348.0,50.15,0.19875,0.2335,0.197
509,L1930191 - 305 Chestnut - 07-10-2019 Final.pdf,07/10/19 15:54,305-CHEST-RAW,Alpha,Dw,ng/l,0.1305,0.296,0.298,7.32,5.26,0.221,2.895,15.5,8.015,0.19875,0.2335,0.197
510,L1945610 - 290 Chestnut 10-02-2019 Final.pdf,10/02/19 09:15,290CHEST-RAW,Alpha,Dw,ng/l,3.1,3.76,0.298,195.0,130.0,0.221,53.6,462.0,83.9,0.19875,0.2335,0.197
511,L2109455 - 5 Beechnut Lane.pdf,02/25/21 15:20,5 BEECH,Alpha,Dw,ng/l,5.24,0.296,0.298,12.2,16.9,2.62,0.824,23.1,4.87,0.19875,0.2335,0.197
512,L2109456 - 3 Stony Brook Road.pdf,02/25/21 11:20,3 STONY,Alpha,Dw,ng/l,2.96,7.83,0.298,81.5,42.5,1.35,34.6,143.0,152.0,0.19875,0.2335,0.197
513,L2109458 - 290 Chestnut Street 2.pdf,02/25/21 14:20,290 CHEST,Alpha,Dw,ng/l,2.85,4.48,0.298,212.0,128.0,1.8,72.2,265.5,149.0,0.19875,0.2335,0.197
514,L2109458 - 290 Chestnut Street.pdf,02/25/21 14:20,290 CHEST,Alpha,Dw,ng/l,2.85,4.48,0.298,212.0,128.0,1.8,72.2,265.5,149.0,0.19875,0.2335,0.197
515,L2109460 - 300 Chestnut Street.pdf,02/25/21 09:25,300 CHEST,Alpha,Dw,ng/l,2.65,1.57,0.298,187.0,114.0,1.83,52.0,370.0,75.3,0.19875,0.2335,0.197
516,L2109461 - 305 Chestnut Street.pdf,02/25/21 13:20,305 CHEST,Alpha,Dw,ng/l,0.1305,0.296,0.298,2.5,1.73,0.957,0.662,4.71,113.0,0.19875,0.2335,0.197
517,L2109462 - 343 Chestnut Street.pdf,02/25/21 10:00,343 CHEST,Alpha,Dw,ng/l,3.72,0.296,0.298,6.13,7.62,1.98,0.425,12.8,22.2,0.19875,0.2335,0.197
518,L2109463 - 341 Chestnut Street.pdf,02/25/21 08:30,341 CHEST,Alpha,Dw,ng/l,5.41,0.296,0.298,4.61,10.1,2.74,0.732,12.9,6.51,0.19875,0.2335,0.197
519,L2109626 - 296 Chestnut Street.pdf,02/26/21 09:00,296 CHEST,Alpha,Dw,ng/l,2.22,2.12,0.298,174.0,111.0,1.55,40.9,215.8,197.0,0.19875,0.2335,0.197
520,L2109630 - 9 Beechnut Lane.pdf,02/26/21 09:45,9 BEECH,Alpha,Dw,ng/l,3.24,0.296,0.298,8.33,9.19,1.49,0.219,16.0,2.42,0.19875,0.2335,0.197
521,L2109631 - 308 Chestnut Street.pdf,02/26/21 10:30,308 CHEST,Alpha,Dw,ng/l,3.56,1.8,0.298,201.0,104.0,2.49,51.7,331.0,117.0,0.19875,0.2335,0.197
522,L2109632 - 359 Chestnut Street.pdf,02/26/21 11:30,359 CHEST,Alpha,Dw,ng/l,3.97,0.296,0.298,9.71,15.4,1.7,0.65,20.6,5.45,0.19875,0.2335,0.197
523,L2109633 - 3 Beechnut Lane.pdf,02/26/21 12:20,3 BEECH,Alpha,Dw,ng/l,4.57,0.296,0.298,17.5,18.3,2.18,0.219,34.2,6.78,0.19875,0.2335,0.197
524,L2109634 - 307 Chestnut Street.pdf,02/26/21 13:25,307 CHEST,Alpha,Dw,ng/l,1.47,0.846,0.298,90.9,60.0,1.03,36.3,206.0,41.5,0.19875,0.2335,0.197
525,L2112364 - 264 Chestnut Street.pdf,03/12/21 09:30,264 CHEST,Alpha,Dw,ng/l,0.1305,0.296,0.298,24.65,20.8,0.981,2.9850000000000003,48.5,36.32,0.19875,0.2335,0.197
526,L2112370 - 10 Beechnut Lane.pdf,03/12/21 10:15,10 BEECH,Alpha,Dw,ng/l,4.890000000000001,0.296,0.298,6.33,16.8,2.255,1.089,19.5,5.390000000000001,0.19875,0.2335,0.197
527,L2115773 - 343 Chestnut Street.pdf,03/30/21 08:20,343 CHEST,Alpha,Dw,ng/l,3.87,0.296,0.298,6.41,8.07,1.88,0.434,13.7,9.48,0.19875,0.2335,0.197
528,Mountain 10 20J0415_2 2020-11-09.pdf,10/7/2020,20J0415-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,3.2,1.0052348335,1.0052348335,1.20092955,1.005255403,1.0052348335,1.0052348335
529,Mountain 14 20K0948_2 2020-12-10.pdf,11/11/2020,20K0948-01,Con-Test,Drinking Water,ng/l,7.7,1.0052348335,1.0052348335,1.0052348335,1.0052348335,34.0,1.0052348335,2.5,5.1,1.005255403,1.0052348335,1.0052348335
530,Mountain 22 20H0029_2 2020-08-17.pdf,7/31/2020,20H0029-01,Con-Test,Drinking Water,ng/l,86.0,1.0052348335,1.0052348335,3.7,8.7,49.0,1.0052348335,16.0,180.0,1.005255403,1.0052348335,1.0052348335
531,Mountain 30 20J0812_2 2020-11-17.pdf,10/13/2020,20J0812-01,Con-Test,Drinking Water,ng/l,3.2,1.0052348335,1.0052348335,2.3,2.9,22.0,1.0052348335,8.6,16.0,1.005255403,1.0052348335,1.0052348335
