,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
193,193,Rousselot,3/11/2021,A51157,NEtFOSAA,0.2455,0.491,,0.491,1
194,194,Rousselot,3/11/2021,A51158,NEtFOSAA,0.2455,0.491,,0.491,1
195,195,Rousselot,3/11/2021,A51160,NEtFOSAA,0.2455,0.491,,0.491,1
196,196,Rousselot Peabody,5/12/2021,A52427,NEtFOSAA,0.2455,0.491,,0.491,1
197,197,Rousselot Peabody,5/12/2021,A52428,NEtFOSAA,0.2455,0.491,,0.491,1
198,198,Rousselot Peabody,5/12/2021,A52429,NEtFOSAA,0.2455,0.491,,0.491,1
199,199,Rousselot Peabody,5/12/2021,A52432,NEtFOSAA,0.2455,0.491,,0.491,1
200,200,Rousselot Peabody,5/12/2021,A52440,NEtFOSAA,0.2455,0.491,,0.491,1
201,201,Rousselot Peabody,5/12/2021,A52441,NEtFOSAA,0.2455,0.491,,0.491,1
202,202,Hawk Ridge Compost Facility,3/2/2021,HRCF1-A,NEtFOSAA,0.2455,0.491,,0.491,1
203,203,Hawk Ridge Compost Facility,3/2/2021,HRCF1-B,NEtFOSAA,0.2455,0.491,,0.491,1
204,204,RMI-RMF,3/31/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
205,205,RMI-RMF,3/31/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,NEtFOSAA,0.2455,0.491,,0.491,1
185,185,Weymouth Water Dpt,4/14/2021,North Field Primary,NEtFOSAA,0.2455,0.491,,0.491,1
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,NEtFOSAA,0.2455,0.491,,0.491,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,NEtFOSAA,0.2455,0.491,,0.491,1
182,182,Weymouth Water Dpt,2/8/2021,Lagoon B Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
159,159,Soundview Vermont Holdings,3/1/2021,SVH Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
161,161,Southbridge WWTF,4/8/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
162,162,Southbridge WWTF,9/25/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
163,163,"Southbridge, MA",12/4/2020,Primary sample,NEtFOSAA,0.2455,0.491,,0.491,1
164,164,"Southbridge, MA",12/4/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
165,165,"Southbridge, MA",2/11/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
166,166,"Southbridge, MA",2/11/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
167,167,"Southbridge, MA",5/11/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
168,168,"Southbridge, MA",5/11/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
169,169,"Southbridge, MA",5/11/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
156,156,Soundview Vermont Holdings,12/9/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
170,170,"Waste Options Nantucket, LLC",10/28/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,NEtFOSAA,0.2455,0.491,,0.491,1
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,NEtFOSAA,0.2455,0.491,,0.491,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,NEtFOSAA,0.2455,0.491,,0.491,1
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,NEtFOSAA,0.2455,0.491,,0.491,1
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
179,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,NEtFOSAA,0.2455,0.491,,0.491,1
180,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
181,181,Weymouth Water Dpt,2/8/2021,Lagoon B Primary,NEtFOSAA,0.2455,0.491,,0.491,1
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
104,104,Montague WPCF,10/26/2020,1,NEtFOSAA,0.2455,0.491,,0.491,1
0,0,Amesbury WTP,9/9/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
102,102,Middleborough ,10/30/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
27,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,NEtFOSAA,0.2455,0.491,,0.491,1
28,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
29,29,"Bristol RI, WPCF",10/14/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
30,30,"Bristol RI, WPCF",2/10/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
31,31,Cascades Paper Mill,12/11/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
32,32,Cascades Paper Mill,12/11/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
33,33,Cascades Paper Mill,3/1/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
34,34,Cascades Paper Mill,3/1/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
36,36,"Concord, NH WWTF",9/2/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
37,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,NEtFOSAA,0.2455,0.491,,0.491,1
26,26,Bridgewater Sewer,1/27/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
39,39,"Concord, NH WWTF",6/1/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
41,41,Dartmouth WWTF,10/27/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
42,42,Dartmouth WWTF,4/26/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
43,43,Dartmouth WWTF,4/26/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
44,44,"EarthSource, Inc.",10/30/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
45,45,"EarthSource, Inc.",1/22/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
47,47,Eresco (Erving),7/31/2019,,NEtFOSAA,0.2455,0.491,,0.491,1
48,48,Eresco (Erving),5/19/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
49,49,Eresco (Erving),9/22/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
40,40,Dartmouth WWTF,10/27/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
103,103,Milorganite,5/28/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
25,25,Bridgewater Sewer,1/27/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
23,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,NEtFOSAA,0.2455,0.491,,0.491,1
1,1,Amesbury WTP,12/2/2020,A49324,NEtFOSAA,0.2455,0.491,,0.491,1
2,2,Amesbury WTP,12/2/2020,A49325,NEtFOSAA,0.2455,0.491,,0.491,1
3,3,Amesbury WTP,3/3/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
4,4,Amesbury WTP,3/3/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
5,5,Amesbury WTP,6/16/2021,A53246,NEtFOSAA,0.2455,0.491,,0.491,1
6,6,Amesbury WTP,6/16/2021,A53247,NEtFOSAA,0.2455,0.491,,0.491,1
7,7,Barnhardt,6/2/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
8,8,Barnhardt,6/2/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
9,9,Barnhardt,9/3/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
10,10,Barnhardt,9/3/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
24,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,NEtFOSAA,0.2455,0.491,,0.491,1
11,11,Barnhardt,10/14/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
13,13,Barnhardt,3/23/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
14,14,Barnhardt,3/23/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
15,15,Barnhardt,6/8/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
16,16,Barnhardt,6/8/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
17,17,Braintree Water and Sewer,10/29/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
18,18,Braintree Water and Sewer,10/29/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
19,19,Braintree Water and Sewer,3/3/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
20,20,Braintree Water and Sewer,3/3/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
21,21,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,NEtFOSAA,0.2455,0.491,,0.491,1
22,22,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,NEtFOSAA,0.2455,0.491,,0.491,1
12,12,Barnhardt,10/14/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
52,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
51,51,Eresco (Erving),9/22/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
53,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
80,80,Hoosac Water Quality District,9/15/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
81,81,Hoosac Water Quality District,12/9/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
82,82,Hoosac Water Quality District,3/3/2021,Final Compost,NEtFOSAA,0.2455,0.491,,0.491,1
83,83,Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",NEtFOSAA,0.2455,0.491,,0.491,1
84,84,Hoosac Water Quality District,6/2/2021,Final Compost,NEtFOSAA,0.2455,0.491,,0.491,1
85,85,Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",NEtFOSAA,0.2455,0.491,,0.491,1
86,86,Hoosac Water Quality District,6/2/2021,"Field
Blank",NEtFOSAA,0.2455,0.491,,0.491,1
87,87,Ipswich Compost,4/16/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
88,88,Ipswich Compost,9/25/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
89,89,Ipswich Compost,12/30/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
90,90,Ipswich Compost,12/30/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
91,91,Ipswich Compost,3/22/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
92,92,Ipswich Compost,3/22/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
93,93,Ipswich Compost,3/22/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
