"obs","censored","pp","modeled"
0.076,TRUE,0.0682306928133773,0.0923903563481732
0.085,TRUE,0.0682306928133773,0.0923903563481732
0.11,TRUE,0.0682306928133773,0.0923903563481732
0.114,TRUE,0.0682306928133773,0.0923903563481732
0.135,TRUE,0.0682306928133773,0.0923903563481732
0.14,FALSE,0.156930593470768,0.14
0.145,FALSE,0.177399801314781,0.145
0.165,FALSE,0.197869009158794,0.165
0.177,TRUE,0.109169108501404,0.123879423347677
0.205,TRUE,0.109169108501404,0.123879423347677
0.21,TRUE,0.0363897028338013,0.0653245438177469
0.21,TRUE,0.0727794056676025,0.0959963807013142
0.21,TRUE,0.109169108501404,0.123879423347677
0.21,TRUE,0.145558811335205,0.151178345762207
0.21,TRUE,0.181948514169006,0.178802127649598
0.213,TRUE,0.109169108501404,0.123879423347677
0.251,TRUE,0.109169108501404,0.123879423347677
0.28,FALSE,0.229346866599588,0.28
0.29,FALSE,0.240355516196368,0.29
0.29,FALSE,0.251364165793148,0.29
0.29,FALSE,0.262372815389928,0.29
0.3,FALSE,0.273381464986709,0.3
0.3,FALSE,0.284390114583489,0.3
0.306,TRUE,0.147699382090135,0.152787931065702
0.31,FALSE,0.306339459149909,0.31
0.31,FALSE,0.317280154119548,0.31
0.33,FALSE,0.328220849089188,0.33
0.344,FALSE,0.339161544058827,0.344
0.35,FALSE,0.350102239028467,0.35
0.352,FALSE,0.361042933998107,0.352
0.352,FALSE,0.371983628967746,0.352
0.36,FALSE,0.382924323937386,0.36
0.361,TRUE,0.196932509453513,0.190404185500979
0.371,FALSE,0.399832670708647,0.371
0.372,TRUE,0.202900161255134,0.195073120997832
0.38,TRUE,0.202900161255134,0.195073120997832
0.385,TRUE,0.202900161255134,0.195073120997832
0.39,TRUE,0.101450080627567,0.118056833970615
0.39,TRUE,0.202900161255134,0.195073120997832
0.39,TRUE,0.304350241882701,0.280405290745242
0.392,TRUE,0.202900161255134,0.195073120997832
0.4,FALSE,0.413223499141554,0.4
0.4,FALSE,0.420646675772839,0.4
0.406,FALSE,0.428069852404125,0.406
0.41,TRUE,0.217746514517705,0.206823134874205
0.42,FALSE,0.441944777613712,0.42
0.44,FALSE,0.448396526192015,0.44
0.45,TRUE,0.227424137385159,0.214595445387047
0.45,FALSE,0.461955279063603,0.45
0.46,FALSE,0.46906228335689,0.46
0.462,FALSE,0.476169287650176,0.462
0.47,TRUE,0.161092097314487,0.162893764314379
0.47,FALSE,0.487835502244815,0.47
