"obs","censored","pp","modeled"
0.053,TRUE,0.180272183349791,0.0919986437018484
0.059,TRUE,0.180272183349791,0.0919986437018484
0.06,TRUE,0.180272183349791,0.0919986437018484
0.077,TRUE,0.180272183349791,0.0919986437018484
0.08,TRUE,0.180272183349791,0.0919986437018484
0.084,TRUE,0.180272183349791,0.0919986437018484
0.094,TRUE,0.180272183349791,0.0919986437018484
0.097,TRUE,0.180272183349791,0.0919986437018484
0.12,TRUE,0.120181455566527,0.0477435300935443
0.12,TRUE,0.240362911133055,0.156027297700212
0.124,TRUE,0.180272183349791,0.0919986437018484
0.144,TRUE,0.180272183349791,0.0919986437018484
0.149,TRUE,0.180272183349791,0.0919986437018484
0.176,TRUE,0.180272183349791,0.0919986437018484
0.187,FALSE,0.373420951224567,0.187
0.21,TRUE,0.048287191968694,0.0139365533089879
0.21,TRUE,0.096574383937388,0.0346235439782213
0.21,TRUE,0.144861575906082,0.0638879099961493
0.21,TRUE,0.193148767874776,0.10384778331481
0.21,TRUE,0.24143595984347,0.157390441358822
0.21,TRUE,0.289723151812164,0.2284214619912
0.21,TRUE,0.338010343780858,0.322262146983659
0.214,TRUE,0.193148767874776,0.10384778331481
0.285,FALSE,0.394695308265847,0.285
0.332,TRUE,0.201546540391071,0.112088908544387
0.36,FALSE,0.411154942397784,0.36
0.45,TRUE,0.139738934671142,0.0603189554579875
0.45,FALSE,0.426702818370809,0.45
0.45,TRUE,0.279477869342285,0.211649545177032
0.451,TRUE,0.217094416364096,0.128486146880812
0.47,TRUE,0.217094416364096,0.128486146880812
0.485,TRUE,0.217094416364096,0.128486146880812
0.521,TRUE,0.217094416364096,0.128486146880812
0.536,TRUE,0.217094416364096,0.128486146880812
0.538,TRUE,0.217094416364096,0.128486146880812
0.55,TRUE,0.217094416364096,0.128486146880812
0.57,FALSE,0.443234433410029,0.57
0.6,FALSE,0.452280034091867,0.6
0.61,FALSE,0.461325634773704,0.61
0.631,TRUE,0.235185617727771,0.149569334642436
0.682,TRUE,0.235185617727771,0.149569334642436
0.689,TRUE,0.235185617727771,0.149569334642436
0.7,TRUE,0.235185617727771,0.149569334642436
0.722,TRUE,0.235185617727771,0.149569334642436
0.75,TRUE,0.156790411818514,0.0726676929891815
0.75,TRUE,0.313580823637028,0.271534446392527
0.77,TRUE,0.235185617727771,0.149569334642436
0.784,TRUE,0.235185617727771,0.149569334642436
0.787,TRUE,0.235185617727771,0.149569334642436
0.86,FALSE,0.477570795181902,0.86
0.91,FALSE,0.484770354908262,0.91
0.915,FALSE,0.491969914634622,0.915
0.916,TRUE,0.249584737180491,0.168025746707833
0.92,FALSE,0.505448335673699,0.92
0.926,FALSE,0.511727196986416,0.926
0.947,TRUE,0.259003029149567,0.180963549452708
0.95,TRUE,0.259003029149567,0.180963549452708
0.96,FALSE,0.522549971091231,0.96
0.99,TRUE,0.263546941941664,0.187463103686
1,TRUE,0.175697961294443,0.0880090046777248
1,TRUE,0.351395922588886,0.353238729183852
1.01,TRUE,0.263546941941664,0.187463103686
1.02,TRUE,0.263546941941664,0.187463103686
1.05,TRUE,0.263546941941664,0.187463103686
1.06,TRUE,0.263546941941664,0.187463103686
1.07,TRUE,0.175697961294443,0.0880090046777248
1.07,TRUE,0.351395922588886,0.353238729183852
1.1,FALSE,0.532823165229886,1.1
1.1,TRUE,0.175697961294443,0.0880090046777248
1.1,TRUE,0.351395922588886,0.353238729183852
1.1,FALSE,0.538552446576444,1.1
1.1,FALSE,0.544281727923002,1.1
1.14,TRUE,0.13750275231739,0.058797787233409
1.14,TRUE,0.27500550463478,0.204633239288165
1.14,TRUE,0.41250825695217,0.529711793841499
1.16,TRUE,0.27500550463478,0.204633239288165
1.2,TRUE,0.27500550463478,0.204633239288165
1.2,FALSE,0.553582509329752,1.2
1.22,TRUE,0.278577004694972,0.210221649520855
1.27,TRUE,0.278577004694972,0.210221649520855
1.3,TRUE,0.185718003129981,0.0968967285141875
1.3,TRUE,0.371436006259963,0.404336917572789
1.3,FALSE,0.561683716783358,1.3
1.31,FALSE,0.566213424176772,1.31
1.34,TRUE,0.285371565785093,0.221176556678343
1.37,TRUE,0.285371565785093,0.221176556678343
1.4,FALSE,0.575066943172991,1.4
1.4,TRUE,0.190247710523395,0.101096627922482
1.4,TRUE,0.380495421046791,0.429461407660534
1.4,FALSE,0.579390754775795,1.4
1.41,TRUE,0.2918572831893,0.232041487522391
1.42,FALSE,0.588473109039295,1.42
1.42,TRUE,0.2918572831893,0.232041487522391
1.55,FALSE,0.59323165169999,1.55
1.6,FALSE,0.597990194360685,1.6
1.62,TRUE,0.30137436851069,0.248737504378285
1.63,TRUE,0.30137436851069,0.248737504378285
1.7,FALSE,0.606891340024963,1.7
1.7,FALSE,0.611033943028547,1.7
1.72,TRUE,0.307588273016065,0.260142623318484
1.8,TRUE,0.307588273016065,0.260142623318484
1.81,TRUE,0.307588273016065,0.260142623318484
1.81,FALSE,0.618192117336209,1.81
1.9,FALSE,0.625940699601357,1.9
1.9,TRUE,0.207069229546763,0.117739786661109
1.9,TRUE,0.414138459093526,0.535340161629646
1.93,FALSE,0.630673710562426,1.93
1.96,FALSE,0.635406721523495,1.96
1.96,FALSE,0.640139732484564,1.96
2,FALSE,0.649269603060035,2
2,FALSE,0.653666462674437,2
2,TRUE,0.322436371722816,0.289104375807347
2.07,FALSE,0.658063322288839,2.07
2.1,TRUE,0.33123009095162,0.307460492043988
2.12,FALSE,0.667109025285018,2.12
2.2,FALSE,0.671757868666795,2.2
2.2,FALSE,0.676406712048572,2.2
2.2,FALSE,0.681055555430349,2.2
2.3,TRUE,0.171426099703032,0.084383323610313
2.3,FALSE,0.688537888063416,2.3
2.3,TRUE,0.342852199406063,0.333191861005543
2.3,TRUE,0.514278299109095,1.01338393582081
2.55,TRUE,0.345685688657353,0.339731039202206
2.6,FALSE,0.695088427730377,2.6
2.6,TRUE,0.345685688657353,0.339731039202206
2.6,FALSE,0.698805478146047,2.6
2.65,TRUE,0.351261264280859,0.35291503527802
2.75,TRUE,0.351261264280859,0.35291503527802
