"obs","censored","pp","modeled"
0.045,TRUE,0.0832504363694939,0.0115962343177791
0.051,TRUE,0.0832504363694939,0.0115962343177791
0.058,FALSE,0.222001163651984,0.058
0.064,FALSE,0.27750145456498,0.064
0.066,TRUE,0.166500872738988,0.0248985223749268
0.069,TRUE,0.166500872738988,0.0248985223749268
0.07,TRUE,0.111000581825992,0.0156303648318791
0.07,TRUE,0.222001163651984,0.0361438735591012
0.072,TRUE,0.166500872738988,0.0248985223749268
0.08,FALSE,0.357668541439307,0.08
0.08,FALSE,0.382335337400639,0.08
0.083,TRUE,0.203501066680985,0.0321461541068908
0.084,TRUE,0.203501066680985,0.0321461541068908
0.09,TRUE,0.135667377787323,0.0195346865111152
0.09,TRUE,0.271334755574647,0.0482149565844133
0.09,FALSE,0.427352240030069,0.09
0.1,FALSE,0.447702346698167,0.1
0.1,FALSE,0.468052453366266,0.1
0.11,TRUE,0.244201280017182,0.0413073254228139
0.12,TRUE,0.244201280017182,0.0413073254228139
0.12,FALSE,0.500612624035224,0.12
0.13,TRUE,0.128205672009021,0.0183194606994166
0.13,TRUE,0.256411344018041,0.0443305324864466
0.13,TRUE,0.384617016027062,0.0861237911224536
0.14,TRUE,0.256411344018041,0.0443305324864466
0.15,TRUE,0.128205672009021,0.0183194606994166
0.15,TRUE,0.256411344018041,0.0443305324864466
0.15,TRUE,0.384617016027062,0.0861237911224536
0.16,FALSE,0.525032752036942,0.16
0.165,FALSE,0.537242816037801,0.165
0.18,TRUE,0.27472644001933,0.0491281266801781
0.19,FALSE,0.55831502326509,0.19
0.21,TRUE,0.28358858324576,0.0515693197906609
0.22,FALSE,0.57577075992321,0.22
0.224,TRUE,0.29218217667745,0.0540150965010114
0.228,TRUE,0.29218217667745,0.0540150965010114
0.23,TRUE,0.0730455441693624,0.010196410972975
0.23,TRUE,0.146091088338725,0.0212847154895988
0.23,FALSE,0.593424265810014,0.23
0.23,TRUE,0.219136632508087,0.0355073491373251
0.23,FALSE,0.602484178265129,0.23
0.23,TRUE,0.29218217667745,0.0540150965010114
0.23,TRUE,0.365227720846812,0.078391837520147
0.23,TRUE,0.438273265016175,0.111014239705162
0.23,TRUE,0.511318809185537,0.155645194080878
0.24,TRUE,0.305772045360122,0.0580480988627735
0.25,FALSE,0.618191309097638,0.25
0.261,TRUE,0.312419263737516,0.060097728060961
0.268,TRUE,0.312419263737516,0.060097728060961
0.287,FALSE,0.633339731930474,0.287
0.287,FALSE,0.641840936385917,0.287
0.29,TRUE,0.32517107042068,0.0641783919666803
0.3,TRUE,0.32517107042068,0.0641783919666803
0.31,FALSE,0.656363827330631,0.31
0.31,TRUE,0.32517107042068,0.0641783919666803
0.32,TRUE,0.331192756909952,0.0661760139617586
0.32,FALSE,0.668299670193295,0.32
0.34,TRUE,0.337106913283344,0.0681837732653372
0.34,FALSE,0.680026014726745,0.34
0.36,TRUE,0.342919101443401,0.0702023777469444
0.361,TRUE,0.342919101443401,0.0702023777469444
0.368,FALSE,0.693333702371904,0.368
0.368,FALSE,0.700829201857006,0.368
0.38,TRUE,0.354162350671054,0.0742398134417708
0.383,FALSE,0.713858488071343,0.383
0.385,TRUE,0.359696137400289,0.0762935135664042
0.39,FALSE,0.72484221627634,0.39
0.392,TRUE,0.365146078876051,0.0783605316683069
0.393,FALSE,0.735661953029691,0.393
0.394,TRUE,0.37051587415364,0.080441428235743
0.4,FALSE,0.74632483222376,0.4
0.42,TRUE,0.37580895807012,0.0825367447547653
0.44,TRUE,0.37580895807012,0.0825367447547653
0.45,TRUE,0.37580895807012,0.0825367447547653
0.458,TRUE,0.37580895807012,0.0825367447547653
0.46,TRUE,0.37580895807012,0.0825367447547653
0.47,TRUE,0.37580895807012,0.0825367447547653
0.48,TRUE,0.37580895807012,0.0825367447547653
0.48,FALSE,0.756435979705242,0.48
0.5,TRUE,0.253751347756748,0.0436603328499343
0.5,TRUE,0.507502695513496,0.152929997624263
0.505,TRUE,0.380627021635122,0.0844830996442628
0.506,TRUE,0.380627021635122,0.0844830996442628
0.51,TRUE,0.152250808654049,0.0223486277334668
0.51,TRUE,0.304501617308098,0.0576622312055002
0.51,TRUE,0.456752425962146,0.120977863440952
0.51,TRUE,0.609003234616195,0.245760400565752
0.512,TRUE,0.380627021635122,0.0844830996442628
0.516,FALSE,0.765579350334279,0.516
0.52,TRUE,0.384952328699157,0.0862628809073957
0.528,TRUE,0.384952328699157,0.0862628809073957
0.53,TRUE,0.384952328699157,0.0862628809073957
0.537,TRUE,0.384952328699157,0.0862628809073957
0.54,TRUE,0.384952328699157,0.0862628809073957
0.57,FALSE,0.773999894937668,0.57
0.571,TRUE,0.38904756623851,0.0879769450872219
0.579,TRUE,0.38904756623851,0.0879769450872219
0.59,FALSE,0.783388296643531,0.59
0.59,TRUE,0.38904756623851,0.0879769450872219
0.6,FALSE,0.788681460810041,0.6
0.611,TRUE,0.396987312488276,0.0913825746880076
0.635,TRUE,0.396987312488276,0.0913825746880076
0.64,TRUE,0.396987312488276,0.0913825746880076
0.65,TRUE,0.264658208325517,0.0464506034573296
0.65,FALSE,0.797755456524059,0.65
0.65,TRUE,0.529316416651034,0.169130376867408
0.663,TRUE,0.400768144035783,0.0930435637544821
0.67,TRUE,0.400768144035783,0.0930435637544821
0.67,FALSE,0.805247104220046,0.67
0.68,TRUE,0.404478960184263,0.0946990730071573
0.69,TRUE,0.404478960184263,0.0946990730071573
0.7,TRUE,0.404478960184263,0.0946990730071573
0.701,TRUE,0.404478960184263,0.0946990730071573
0.706,TRUE,0.404478960184263,0.0946990730071573
0.709,TRUE,0.404478960184263,0.0946990730071573
0.72,TRUE,0.404478960184263,0.0946990730071573
0.725,FALSE,0.81244480795632,0.725
0.73,TRUE,0.407965847772058,0.0962779325170771
0.732,TRUE,0.407965847772058,0.0962779325170771
0.733,FALSE,0.820502741457528,0.733
0.748,FALSE,0.825073787370941,0.748
0.76,TRUE,0.414822416642177,0.0994498867534991
0.77,TRUE,0.414822416642177,0.0994498867534991
0.78,TRUE,0.276548277761451,0.0496234104699262
0.78,TRUE,0.553096555522902,0.188842047267023
0.78,FALSE,0.834069605728536,0.78
0.8,FALSE,0.838494378172719,0.8
0.81,TRUE,0.280973050205634,0.0508404202940511
0.81,TRUE,0.561946100411268,0.196790752410389
0.815,TRUE,0.421459575308451,0.102607863361954
0.82,TRUE,0.421459575308451,0.102607863361954
0.84,TRUE,0.421459575308451,0.102607863361954
0.86,TRUE,0.421459575308451,0.102607863361954
0.89,TRUE,0.421459575308451,0.102607863361954
0.893,TRUE,0.421459575308451,0.102607863361954
0.9,FALSE,0.846018118082406,0.9
0.9,TRUE,0.421459575308451,0.102607863361954
0.93,TRUE,0.424558542773955,0.104112707225238
0.938,FALSE,0.852193596727431,0.938
0.97,TRUE,0.285090035968984,0.051990978997972
0.97,TRUE,0.570180071937968,0.204513198084283
0.98,TRUE,0.285090035968984,0.051990978997972
0.98,TRUE,0.570180071937968,0.204513198084283
1,FALSE,0.85975579029108,1
1,FALSE,0.864241472675207,1
1.01,FALSE,0.868727155059334,1.01
1.03,TRUE,0.436606418721731,0.110153824915926
1.04,TRUE,0.436606418721731,0.110153824915926
1.06,TRUE,0.436606418721731,0.110153824915926
1.07,TRUE,0.436606418721731,0.110153824915926
1.09,FALSE,0.876123546901606,1.09
1.15,TRUE,0.439517128179876,0.111660316834984
1.16,TRUE,0.439517128179876,0.111660316834984
1.21,FALSE,0.881906917328247,1.21
1.3,TRUE,0.294926526098914,0.0548129345490345
1.3,TRUE,0.589853052197829,0.224350925335642
1.37,TRUE,0.442389789148372,0.11316562322599
1.38,TRUE,0.442389789148372,0.11316562322599
1.42,FALSE,0.8875795136711,1.42
1.57,TRUE,0.445189724522728,0.114650789573484
1.58,FALSE,0.893161884823724,1.58
1.63,TRUE,0.447972160300995,0.116144517362784
1.65,TRUE,0.447972160300995,0.116144517362784
1.65,FALSE,0.89869261606396,1.65
1.72,TRUE,0.450720455762965,0.117637645532623
1.8,TRUE,0.450720455762965,0.117637645532623
1.81,TRUE,0.450720455762965,0.117637645532623
1.88,FALSE,0.905039478039007,1.88
1.94,FALSE,0.908638044552085,1.94
2,TRUE,0.456118305532581,0.120622578653026
2.06,TRUE,0.456118305532581,0.120622578653026
2.1,TRUE,0.304078870355054,0.0575342419746129
2.1,TRUE,0.608157740710108,0.244767336568196
2.2,TRUE,0.456118305532581,0.120622578653026
2.3,TRUE,0.228059152766291,0.0375118896885437
2.3,TRUE,0.456118305532581,0.120622578653026
2.3,TRUE,0.684177458298872,0.356795124282885
2.4,FALSE,0.915672530504202,2.4
2.45,FALSE,0.919108449943242,2.45
