,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
761,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.9,,0.93,,,0.93
762,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.9,,0.93,,,0.93
763,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.9,,1.4,,,1.4
764,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,7.4,,3.7,,,3.7
765,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,7.4,,3.7,,,3.7
766,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,7.4,,1.9,,,1.9
767,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,,FB-WELLS,SGS,24,DW - Drinking Water FB,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,7.4,,1.9,,,1.9
768,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFHxA,Perfluorohexanoic acid,307-24-4,24.6,4.0,,,ng/l,24.6,4.0
769,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFHpA,Perfluoroheptanoic acid,375-85-9,20.8,2.0,,,ng/l,20.8,2.0
770,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFOA,Perfluorooctanoic acid,335-67-1,10.6,2.0,,,ng/l,10.6,2.0
771,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFNA,Perfluorononanoic acid,375-95-1,5.92,2.0,,,ng/l,5.92,2.0
772,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,2.0,,,ng/l,,2.0
773,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,4.0,,,ng/l,,4.0
774,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,4.0,,,ng/l,,4.0
775,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,4.0,,,ng/l,,4.0
776,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,4.0,,,ng/l,,4.0
777,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,2.0,,,ng/l,,2.0
778,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,11.8,2.0,,,ng/l,11.8,2.0
779,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,12.4,2.0,,,ng/l,12.4,2.0
780,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,8.0,,,ng/l,,8.0
781,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,8.0,,,ng/l,,8.0
782,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,8.0,,,ng/l,,8.0
783,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,6,DW - Drinking Water,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,8.0,,,ng/l,,8.0
784,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFHxA,Perfluorohexanoic acid,307-24-4,24.1,4.0,,,ng/l,24.1,4.0
785,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFHpA,Perfluoroheptanoic acid,375-85-9,21.7,2.0,,,ng/l,21.7,2.0
786,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFOA,Perfluorooctanoic acid,335-67-1,10.7,2.0,,,ng/l,10.7,2.0
787,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFNA,Perfluorononanoic acid,375-95-1,6.20,2.0,,,ng/l,6.2,2.0
788,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,2.0,,,ng/l,,2.0
789,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,4.0,,,ng/l,,4.0
790,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,4.0,,,ng/l,,4.0
791,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,4.0,,,ng/l,,4.0
792,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,4.0,,,ng/l,,4.0
793,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,2.0,,,ng/l,,2.0
794,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,11.3,2.0,,,ng/l,11.3,2.0
795,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,13.0,2.0,,,ng/l,13.0,2.0
796,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,8.0,,,ng/l,,8.0
797,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,8.0,,,ng/l,,8.0
798,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,8.0,,,ng/l,,8.0
799,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,8,DW - Drinking Water,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,8.0,,,ng/l,,8.0
800,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFHxA,Perfluorohexanoic acid,307-24-4,22.4,4.0,,,ng/l,22.4,4.0
801,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFHpA,Perfluoroheptanoic acid,375-85-9,20.1,2.0,,,ng/l,20.1,2.0
802,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFOA,Perfluorooctanoic acid,335-67-1,9.83,2.0,,,ng/l,9.83,2.0
803,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFNA,Perfluorononanoic acid,375-95-1,5.80,2.0,,,ng/l,5.8,2.0
804,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,2.0,,,ng/l,,2.0
805,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,4.0,,,ng/l,,4.0
806,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,4.0,,,ng/l,,4.0
807,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,4.0,,,ng/l,,4.0
808,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,4.0,,,ng/l,,4.0
809,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,2.0,,,ng/l,,2.0
810,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,10.7,2.0,,,ng/l,10.7,2.0
811,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,11.2,2.0,,,ng/l,11.2,2.0
812,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,8.0,,,ng/l,,8.0
813,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,8.0,,,ng/l,,8.0
814,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,8.0,,,ng/l,,8.0
815,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,09/17/19,,SGS,10,DW - Drinking Water,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,8.0,,,ng/l,,8.0
816,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,4.0,,,ng/l,,4.0
817,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,2.0,,,ng/l,,2.0
818,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,2.0,,,ng/l,,2.0
819,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFNA,Perfluorononanoic acid,375-95-1,ND,2.0,,,ng/l,,2.0
820,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,2.0,,,ng/l,,2.0
821,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,4.0,,,ng/l,,4.0
822,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,4.0,,,ng/l,,4.0
823,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,4.0,,,ng/l,,4.0
824,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,4.0,,,ng/l,,4.0
825,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,2.0,,,ng/l,,2.0
826,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,2.0,,,ng/l,,2.0
827,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,2.0,,,ng/l,,2.0
828,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,8.0,,,ng/l,,8.0
829,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,8.0,,,ng/l,,8.0
830,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,8.0,,,ng/l,,8.0
831,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,FB-WP-1,SGS,12,DW - Drinking Water FB,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,8.0,,,ng/l,,8.0
832,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFHxA,Perfluorohexanoic acid,307-24-4,23.2,4.0,,,ng/l,23.2,4.0
833,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFHpA,Perfluoroheptanoic acid,375-85-9,20.9,2.0,,,ng/l,20.9,2.0
834,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFOA,Perfluorooctanoic acid,335-67-1,10.3,2.0,,,ng/l,10.3,2.0
835,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFNA,Perfluorononanoic acid,375-95-1,6.07,2.0,,,ng/l,6.07,2.0
836,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,2.0,,,ng/l,,2.0
837,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,4.0,,,ng/l,,4.0
838,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,4.0,,,ng/l,,4.0
839,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,4.0,,,ng/l,,4.0
840,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,4.0,,,ng/l,,4.0
841,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,2.0,,,ng/l,,2.0
842,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,11.4,2.0,,,ng/l,11.4,2.0
843,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,12.5,2.0,,,ng/l,12.5,2.0
844,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,8.0,,,ng/l,,8.0
845,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,8.0,,,ng/l,,8.0
846,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,8.0,,,ng/l,,8.0
847,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,,DUP-1,SGS,13,DW - Drinking Water,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,8.0,,,ng/l,,8.0
848,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.2,,,ug/kg,,1.2
849,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.2,,,ug/kg,,1.2
850,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.2,,,ug/kg,,1.2
851,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.2,,,ug/kg,,1.2
852,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.2,,,ug/kg,,1.2
853,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.2,,,ug/kg,,1.2
854,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.2,,,ug/kg,,1.2
855,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.2,,,ug/kg,,1.2
856,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.2,,,ug/kg,,1.2
857,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.2,,,ug/kg,,1.2
858,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.2,,,ug/kg,,1.2
859,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.2,,,ug/kg,,1.2
860,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.9,,,ug/kg,,2.9
861,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.9,,,ug/kg,,2.9
862,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.2,,,ug/kg,,1.2
863,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,"CMG 4 0-12""",SGS,9,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.2,,,ug/kg,,1.2
864,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,CMG 4 9-10',SGS,11,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.2,,,ug/kg,,1.2
865,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,CMG 4 9-10',SGS,11,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.2,,,ug/kg,,1.2
866,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,CMG 4 9-10',SGS,11,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.2,,,ug/kg,,1.2
867,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,,CMG 4 9-10',SGS,11,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.2,,,ug/kg,,1.2
