Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
Barnhardt,9/3/2020,,,Alpha,15%,ng/g,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,Not Reported,,,,ND,3.35,,,ND,3.35,,,ND,3.35,,,,,,,ND,3.35,,,Not Reported,,,,ND,3.35,,,Not Reported,,,,Not Reported,,,,ND,3.35,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,10/14/2020,,,Alpha,10%,ng/g,ND,4.6,,,ND,4.6,,,ND,4.6,,,ND,1.15,,,ND,4.6,,,ND,1.15,,,ND,1.15,,,ND,4.6,,,ND,1.15,,,ND,4.6,,,Not Reported,,,,ND,1.15,,,ND,1.15,,,ND,4.6,,,,,,,ND,4.6,,,Not Reported,,,,ND,4.6,,,Not Reported,,,,Not Reported,,,,ND,4.6,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,10/14/2020,,,Alpha,10%,ng/g,ND,4.64,,,ND,4.64,,,ND,4.64,,,ND,1.16,,,ND,4.64,,,ND,1.16,,,ND,1.16,,,ND,4.64,,,ND,1.16,,,ND,4.64,,,Not Reported,,,,ND,1.16,,,ND,1.16,,,ND,4.64,,,,,,,ND,4.64,,,Not Reported,,,,ND,4.64,,,Not Reported,,,,Not Reported,,,,ND,4.64,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,3/23/2021,Primary,,Alpha Analytical,15%,ng/g,ND,0.815,,,ND,1.63,,,ND,1.63,,,ND,0.815,,,ND,1.63,,,ND,0.815,,,ND,0.815,,,ND,1.63,,,ND,0.815,,,ND,1.63,,,Not Reported,,,,ND,0.815,,,ND,0.815,,,ND,1.63,,,Not Reported,,,,ND,1.63,,,Not Reported,,,,ND,3.26,,,Not Reported,,,,Not Reported,,,,5.61,3.26,,F,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,3/23/2021,Duplicate,,Alpha Analytical,15%,ng/g,ND,0.81,,,ND,1.62,,,ND,1.62,,,ND,0.81,,,ND,1.62,,,ND,0.81,,,ND,0.81,,,ND,1.62,,,ND,0.81,,,ND,1.62,,,Not Reported,,,,ND,0.81,,,ND,0.81,,,ND,1.62,,,Not Reported,,,,ND,1.62,,,Not Reported,,,,ND,3.24,,,Not Reported,,,,Not Reported,,,,7.09,3.24,,F,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,6/8/2021,Primary,L2131063,Alpha Analytical,11%,ng/g,ND,1.06,,,3.56,2.12,,,ND,2.12,,,10.8,1.06,,,2.86,2.12,,,ND,1.06,,,ND,1.06,,,5.01,2.12,,,1.18,1.06,,,ND,2.12,,,Not Reported,,,,2.42,1.06,,,5.52,1.06,,F,3.59,2.12,,,,,,,ND,2.12,,,Not Reported,,,,ND,4.24,,,Not Reported,,,,Not Reported,,,,ND,4.24,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,6/8/2021,Duplicate,L2131063,Alpha Analytical,11%,ng/g,ND,1.07,,,ND,2.15,,,ND,2.15,,,ND,1.07,,,ND,2.15,,,ND,1.07,,,ND,1.07,,,ND,1.07,,,ND,1.07,,,ND,2.15,,,Not Reported,,,,ND,1.07,,,ND,1.07,,,ND,2.15,,,,,,,ND,2.15,,,Not Reported,,,,ND,4.29,,,Not Reported,,,,Not Reported,,,,ND,4.29,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,10/29/2020,,,Eurofins,0.9%,,ND,20.00,2.50,,8.50,20.00,2.90,J B,ND,20.00,4.00,F1,ND,20.00,2.20,,ND,20.00,6.80,,ND,20.00,3.00,,ND,20,3.2,,ND,20,4.3,,ND,20,3.7,,Not Reported,,,,Not Reported,,,,ND,20,8.8,,ND,51,20,*,ND,20,7.9,,Not Reported,,,,ND,20,3.7,,Not Reported,,,,ND,20,2,,Not Reported,,,,Not Reported,,,,ND,20,2,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,10/29/2020,,,Eurofins,1.2%,,ND,15.00,1.90,,ND,15.00,2.10,,ND,1.50,2.90,,<MRL,15.00,1.70,J,ND,15.00,5.10,,ND,15.00,2.20,,ND,15,2.3,,ND,15,3.2,,ND,15,2.7,,Not Reported,,,,Not Reported,,,,ND,15,6.5,,ND,38,15,,ND,15,5.8,,Not Reported,,,,ND,15,2.7,,Not Reported,,,,ND,15,1.5,,Not Reported,,,,Not Reported,,,,<MRL,15,1.5,J,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,3/3/2021,,,Eurofins,1%,,<MRL,24,3,J,ND,24,3.4,,ND,24,4.7,,ND,24,2.6,,ND,24,8.1,,<MRL,24,3.5,J,<MRL,24,3.7,J,<MRL,24,5.1,J,ND,24,4.3,,Not Reported,,,,Not Reported,,,,<MRL,24,10,J,<MRL,60,24,J,ND,24,9.3,,Not Reported,,,,ND,24,4.3,*+,Not Reported,,,,ND,24,2.4,,Not reported,,,,Not Reported,,,,ND,24,2.4,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,3/3/2021,,,Eurofins,1%,,ND,17,2.2,,ND,17,2.4,,ND,17,3.4,,ND,17,1.9,,ND,17,5.8,,ND,17,2.5,,<MRL,17,2.7,J,<MRL,17,3.6,J I,ND,17,3.1,,Not Reported,,,,Not Reported,,,,<MRL,17,3.1,J,<MRL,43,17,J,ND,17,6.6,,Not Reported,,,,ND,17,3.1,*+,Not Reported,,,,ND,17,1.7,,Not Reported,,,,Not Reported,,,,ND,17,1.7,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,320-70901-1,"Eurofins TestAmerica, Sacramento",0.80%, ,5.2,24,3,J,ND,24,3.4, ,ND,24,4.7, ,ND,24,2.6, ,ND,24,8.1, ,5.7,24,3.5,J,9.1,24,3.7,J,7.9,24,5.1,J,ND,24,4.3, ,ND,24,6.1, ,Not Reported, , , ,16,24,10,J,50,60,24,J,ND,24,9.3, ,Not Reported, , , ,ND,24,4.3,*+,Not Reported, , , ,ND,24,2.4, ,Not Reported, , , ,Not Reported, , , ,ND,24,2.4, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,320-70901-2,"Eurofins TestAmerica, Sacramento",1.10%, ,ND,17,2.2, ,ND,17,2.4, ,ND,17,3.4, ,ND,17,1.9, ,ND,17,5.8, ,ND,17,2.5, ,4.7,17,2.7,J,4,17,3.6,J I,ND,17,3.1, ,ND,17,4.4, ,Not Reported, , , ,7.5,17,7.4,J,26,43,17,J,ND,17,6.6, ,Not Reported, , , ,ND,17,3.1,*+,Not Reported, , , ,ND,17,1.7, ,Not Reported, , , ,Not Reported, , , ,ND,17,1.7, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,320-67635-1,"Eurofins TestAmerica, Sacramento", , ,1.2,3.6,0.45,J I,0.59,3.6,0.5,J,0.76,3.6,0.7,J,1.2,3.6,0.39,J,ND,3.6,1.2, ,ND,3.6,0.52, ,ND,3.6,0.56, ,8,3.6,0.75,I,ND,3.6,0.65, ,ND,3.6,0.91, ,Not Reported, , , ,2.7,3.6,1.5,J,ND,9,3.6, ,ND,3.6,1.4, , , , , ,ND,3.6,0.65, ,Not Reported, , , ,ND,3.6,0.36, ,Not Reported, , , ,Not Reported, , , ,ND,3.6,0.36, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
