,RTN,date_sampled_well_well,sample_id,lab,Matrix,lat,lon,NEtFOSAA_well,PFBS_well,PFDA_well,PFDoA_well,PFHpA_well,PFHxA_well,PFHxS_well,PFNA_well,PFOA_well,PFOS_well,PFTA_well,PFTrDA_well,PFUnA_well,geometry
277,2-0021075,01/01/2001,other,SGS,water,42.437078,-71.50744985813903,0.915,1.5943078355198936,0.9,1.8,5.573971077379961,24.6790754543863,0.2253722890540615,0.5106077918863945,6.909835212892595,1.881988591109915,0.355,0.355,1.8,POINT (-71.50744985813903 42.437078)
278,2-0021075,01/01/2001,other,SGS,water,42.43713685,-71.51049658209082,0.915,0.6084548691071114,0.9,1.8,0.72431245704641,1.7153472831651886,0.259878582801953,0.985209396378221,1.9056288806455268,1.94262932728938,0.355,0.355,1.8,POINT (-71.51049658209082 42.43713685)
279,2-0021075,01/01/2001,other,SGS,water,42.4415477,-71.5091137,0.915,0.6483484111684538,0.9624999999999999,1.8875000000000002,0.7761460984597238,2.466479825795405,0.005684908698767576,0.008619578158161325,3.019852749627529,5.197121366125945,0.355,0.355,1.8875000000000002,POINT (-71.5091137 42.4415477)
280,2-0021075,01/01/2001,other,SGS,water,42.44167195,-71.50841997510149,0.915,0.2075770416717735,0.95,1.85,1.8205870638394042,3.5294197310784208,0.054686008372827874,0.6363775641050156,3.018903238355741,12.340507250512566,0.355,0.355,1.85,POINT (-71.50841997510149 42.44167195)
281,2-0021075,01/01/2001,other,SGS,water,42.4421888,-71.50818353849468,0.915,0.8719332536761437,0.95,1.85,1.3737563506608754,3.0401740582106056,0.06628910374229505,0.11111692552184985,2.622541900284707,18.527900083411264,0.355,0.355,1.85,POINT (-71.50818353849468 42.4421888)
282,2-0021075,01/30/20,DISTILLED DECON WATER,SGS,AQ - Water,42.43755315,-71.50554356657487,0.915,0.448182633380236,0.465,0.7,0.110411827441286,0.15738943989593,0.143720330562001,0.31552486139668,0.287934348321457,0.309821764065856,0.355,0.355,0.465,POINT (-71.50554356657487 42.43755315)
283,2-0021075,02/18/20,other,SGS,AQ - Ground Water,42.43755315,-71.50554356657487,0.915,12.5,3.915,1.0,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.0150000000000001,POINT (-71.50554356657487 42.43755315)
284,2-0021075,02/20/20 10:10,22 RUSSET LANE,Alpha,Dw,42.439586,-71.5077957,0.258,0.45366103665939,0.9,0.9,0.516234154672418,0.428555979549855,0.17319280610321,0.28193061402996,0.868751894666026,0.554087201858611,0.19875,0.2335,0.9,POINT (-71.5077957 42.439586)
285,2-0021075,02/20/20 11:15,26 CRESCENT ST,Alpha,Dw,42.43766435,-71.50469316687546,0.258,5.42,0.92,0.92,10.5,30.2,18.4,0.0046283965470936,10.3,4.32,0.19875,0.2335,0.92,POINT (-71.50469316687546 42.43766435)
286,2-0021075,02/20/20 12:10,25 CRESCENT ST,Alpha,Dw,42.43813627347114,-71.50255156850206,0.258,21.3,0.93,0.93,57.5,126.0,451.0,13.7,52.8,216.0,0.19875,0.2335,0.93,POINT (-71.50255156850206 42.43813627347114)
287,2-0021075,02/20/20 12:45,20 CRESCENT ST,Alpha,Dw,42.43770715,-71.50506094258763,0.258,0.344674847448599,0.92,0.92,0.313579284745415,0.302031453438872,0.22578739379442,0.403700679503375,1.06194584532173,0.134206735754411,0.19875,0.2335,0.92,POINT (-71.50506094258763 42.43770715)
288,2-0021075,02/20/20 13:15,338 GREAT RD,Alpha,Dw,42.4360784,-71.50284154401655,0.258,8.75,0.915,0.915,2.01,9.63,22.4,0.0445703384300606,3.99,2.93,0.19875,0.2335,0.915,POINT (-71.50284154401655 42.4360784)
289,2-0021075,02/20/20 14:05,350 GREAT RD,Alpha,Dw,42.4361725,-71.50373449202019,0.258,17.6,0.96,0.96,5.23,26.3,57.2,0.356988938083451,7.15,5.96,0.19875,0.2335,0.96,POINT (-71.50373449202019 42.4361725)
290,2-0021075,02/20/20 15:00,31 CRESCENT ST,Alpha,Dw,42.437447399999996,-71.50403219782258,0.258,30.5,0.89,0.89,26.1,82.7,204.0,0.047830527145776,20.6,25.1,0.19875,0.2335,0.89,POINT (-71.50403219782258 42.4374474)
291,2-0021075,09/25/19 14:25,27 CARRIAGE LN,Alpha,Dw,42.4415477,-71.5091137,0.258,2.64,0.93,0.93,3.39,5.55,0.0874448304970081,0.131693688065206,14.4,2.21,0.19875,0.2335,0.93,POINT (-71.5091137 42.4415477)
292,2-0021075,09/25/19 15:28,29 PACKARD RD,Alpha,Dw,42.438878200000005,-71.51099536192146,0.258,1.88,0.93,0.93,3.15,7.25,0.0559015400878082,0.088341823259708,6.96,5.72,0.19875,0.2335,0.93,POINT (-71.51099536192146 42.4388782)
293,2-0021075,09/25/19 16:15,41 PACKARD RD,Alpha,Dw,42.439721399999996,-71.51061205443165,0.258,3.74,0.9,0.9,0.0121539599834386,3.94,0.0097774845387871,0.033001974735725,4.47,3.87,0.19875,0.2335,0.9,POINT (-71.51061205443165 42.4397214)
294,2-0021075,09/25/19 17:15,37 PACKARD RD,Alpha,Dw,42.439284150000006,-71.51036737047146,0.258,2.3,0.945,0.945,3.38,8.02,0.0389635659327008,0.0363296675777639,7.06,5.23,0.19875,0.2335,0.945,POINT (-71.51036737047146 42.43928415000001)
295,2-0021075,09/26/19 11:25,30 CARRIAGE LN,Alpha,Dw,42.4421888,-71.50818353849468,0.258,3.39,0.94,0.94,5.69,15.0,0.426015297893993,0.274038953925336,10.8,9.14,0.19875,0.2335,0.94,POINT (-71.50818353849468 42.4421888)
296,2-0021075,09/26/19 11:50,33 CARRIAGE LN,Alpha,Dw,42.44167195,-71.50841997510149,0.258,1.0446996748938,0.865,0.865,5.74,11.9,0.350709687192746,2.41,9.57,14.1,0.19875,0.2335,0.865,POINT (-71.50841997510149 42.44167195)
297,2-0021075,09/26/19 12:13,26 CARRIAGE LN,Alpha,Dw,42.44248855,-71.50863650036749,0.258,2.68,0.94,0.94,0.746027184497983,3.51,0.0488868443143107,0.0568624944335964,4.59,3.78,0.19875,0.2335,0.94,POINT (-71.50863650036749 42.44248855)
298,2-0021075,09/26/19 13:08,25 PACKARD RD,Alpha,Dw,42.43845225,-71.51121835485066,0.258,0.069482752105167,0.925,0.925,2.66,6.73,0.008136243817945,0.25324041396457,7.81,6.02,0.19875,0.2335,0.925,POINT (-71.51121835485066 42.43845225)
299,2-0021075,09/26/19 13:55,30 RUSSET LN,Alpha,Dw,42.4402009,-71.5075817,0.258,0.517123433293529,0.945,0.945,0.103290024328204,0.799943435178154,0.162575683006802,0.143354047264353,0.881527593708311,0.32469855522008,0.19875,0.2335,0.945,POINT (-71.5075817 42.4402009)
300,2-0021075,11/13/19,38 RUSSET LANE,SGS,DW - Drinking Water,42.4407338,-71.507332,0.915,0.177454551279867,0.5,1.0,0.351593564530392,0.474368782159589,0.157603177543884,0.756606173948871,0.478795320063292,0.219549839322768,0.355,0.355,1.0,POINT (-71.50733200000001 42.4407338)
301,2-0021075,11/13/19,45 PACKARD RD,SGS,DW - Drinking Water,42.43698121651998,-71.51293278750892,0.915,4.32,1.0,2.0,2.08,1.64078483489461,1.73211734928323,2.69387597278198,6.45,4.62,0.355,0.355,2.0,POINT (-71.51293278750892 42.43698121651998)
302,2-0021075,11/13/19,54 PACKARD RD,SGS,DW - Drinking Water,42.440713200000005,-71.51098269892177,0.915,9.23,1.0,2.0,1.5757034785141,3.37340190823787,1.76296178253262,2.31949147055956,3.7,17.1,0.355,0.355,2.0,POINT (-71.51098269892177 42.4407132)
303,2-0021075,11/13/19,63 PACKARD RD,SGS,DW - Drinking Water,42.44120165,-71.51036134412175,0.915,4.5,1.0,2.0,0.17853342368052,2.82372254145333,0.0126765022770229,0.0193105098327889,3.45,3.11,0.355,0.355,2.0,POINT (-71.51036134412175 42.44120165)
304,2-0021075,11/13/19,69 PACKARD RD,SGS,DW - Drinking Water,42.4416437,-71.51045512399364,0.915,5.3,1.0,2.0,1.45627455663492,1.35989004798781,0.247733797679516,2.04524130939205,4.34,3.63,0.355,0.355,2.0,POINT (-71.51045512399364 42.4416437)
305,2-0021075,11/13/19,72 PACKARD RD,SGS,DW - Drinking Water,42.44172854999999,-71.51122092636547,0.915,6.8,1.0,2.0,2.77,5.15,2.61,0.0187606621778619,8.74,8.52,0.355,0.355,2.0,POINT (-71.51122092636547 42.44172854999999)
306,2-0021075,11/14/19,10 CARRIAGE LN,SGS,DW - Drinking Water,42.44292025,-71.51053892293001,0.915,0.0999446512134999,0.85,1.7,0.247864265618452,0.180499247657199,0.0093483826550079,0.0239348763573154,0.33687298954026,0.122921894634562,0.355,0.355,1.7,POINT (-71.51053892293001 42.44292025)
307,2-0021075,11/14/19,14 CARRIAGE LN,SGS,DW - Drinking Water,42.44292025,-71.51053892293001,0.915,0.0530587402235148,0.85,3.45,0.0341605707545875,1.72252126013612,0.0038688965563067,0.0030414191696721,0.153947085863831,0.263257091138667,0.355,0.355,3.45,POINT (-71.51053892293001 42.44292025)
308,2-0021075,11/14/19,18 CARRIAGE LN,SGS,DW - Drinking Water,42.442774,-71.50958018855778,0.915,2.16,0.85,1.7,0.373937711067146,1.2043894111217,2.15,0.0320637398975214,2.47,3.71,0.355,0.355,1.7,POINT (-71.50958018855778 42.442774)
309,2-0021075,11/14/19,22 CARRIAGE LN,SGS,DW - Drinking Water,42.44261245,-71.50905646138327,0.915,4.44,0.85,1.7,0.153384233295064,0.821994238532368,2.36,0.0816484889910885,5.06,4.07,0.355,0.355,1.7,POINT (-71.50905646138327 42.44261245)
310,2-0021075,11/14/19,3 CARRIAGE LN,SGS,DW - Drinking Water,42.4422214,-71.51079096607756,0.915,5.35,0.9,1.8,0.0812485892393065,0.17651978523089,2.69,0.0403142583373124,6.17,6.01,0.355,0.355,1.8,POINT (-71.51079096607756 42.4422214)
311,2-0021075,11/14/19,36 PACKARD RD,SGS,DW - Drinking Water,42.4393259,-71.5118452334423,0.915,0.284514581650158,0.85,1.7,2.1,0.539363570349758,0.0167301719388484,0.0661912605798277,4.43,4.11,0.355,0.355,1.7,POINT (-71.5118452334423 42.4393259)
312,2-0021075,11/14/19,53 PACKARD RD,SGS,DW - Drinking Water,42.44070275,-71.51014756675995,0.915,17.3,0.95,1.85,1.10751305101954,0.268061633566024,0.194046531810559,0.292248031115889,2.31,0.821356856272977,0.355,0.355,1.85,POINT (-71.51014756675995 42.44070275)
313,2-0021075,11/14/19,66 PACKARD RD,SGS,DW - Drinking Water,42.441179149999996,-71.5112622119565,0.915,6.7,0.85,1.7,3.2,5.9,2.35,0.0416697122305684,8.54,11.2,0.355,0.355,1.7,POINT (-71.51126221195651 42.44117915)
314,2-0021075,11/19/19,2 CRESCENT,SGS,DW - Drinking Water,42.4370646,-71.50703027801555,0.915,7.3,1.0,2.0,34.6,149.0,17.3,0.0161336707967112,17.6,4.66,0.355,0.355,2.0,POINT (-71.50703027801555 42.4370646)
315,2-0021075,11/19/19,21 CARRIAGE LN,SGS,DW - Drinking Water,42.44195015,-71.50963254726857,0.915,3.65,1.0,2.0,0.0532356888350053,2.36159635674107,0.0121604472658962,0.0156321606722856,4.56,3.91,0.355,0.355,2.0,POINT (-71.50963254726857 42.44195015)
316,2-0021075,11/19/19,4 CRESCENT,SGS,DW - Drinking Water,42.43716635,-71.5066667880291,0.915,9.2,1.0,2.0,30.4,62.4,22.1,2.36,37.5,11.4,0.355,0.355,2.0,POINT (-71.50666678802909 42.43716635)
317,2-0021075,11/19/19,7 PACKARD RD,SGS,DW - Drinking Water,42.437432650000005,-71.51153786970136,0.915,0.0887543383046322,1.0,2.0,6.5,18.7,4.22,0.0151384318636716,5.45,4.52,0.355,0.355,2.0,POINT (-71.51153786970136 42.43743265000001)
318,2-0021075,11/20/19,18 CENTER ST,SGS,DW - Drinking Water,42.435531499999996,-71.50738857205755,0.915,4.1,0.85,1.7,8.82,12.9,2.15,1.17255264830892,11.4,5.51,0.355,0.355,1.7,POINT (-71.50738857205755 42.4355315)
319,2-0021075,11/20/19,3 CENTER ST,SGS,DW - Drinking Water,42.43614395,-71.5082450265869,0.915,46.2,0.85,1.7,23.1,84.0,174.0,0.120709076361016,16.1,28.0,0.355,0.355,1.7,POINT (-71.50824502658691 42.43614395)
320,2-0021075,11/20/19,356 GREAT RD,SGS,DW - Drinking Water,42.43618655,-71.50407685938178,0.915,33.0,0.9,1.8,25.4,79.1,136.0,0.0022826552923217,14.6,33.8,0.355,0.355,1.8,POINT (-71.50407685938178 42.43618655)
321,2-0021075,11/20/19,358 GREAT RD,SGS,DW - Drinking Water,42.4362758,-71.5042602503994,0.915,44.5,0.85,1.7,23.1,82.3,172.0,0.97548333643861,16.0,28.1,0.355,0.355,1.7,POINT (-71.5042602503994 42.4362758)
322,2-0021075,11/20/19,388 GREAT RD,SGS,DW - Drinking Water,42.43663045148022,-71.50681009292647,0.915,8.27,0.85,1.7,10.0,19.5,3.76,0.815544371374205,12.8,3.46,0.355,0.355,1.7,POINT (-71.50681009292647 42.43663045148022)
323,2-0021075,11/20/19,453 GREAT RD,SGS,DW - Drinking Water,42.4371821,-71.51322568041067,0.915,0.715644476795183,0.85,1.65,0.540689601101763,0.659368857254981,0.626529215551908,0.576001339449089,1.24461053972943,1.32936865965584,0.355,0.355,1.65,POINT (-71.51322568041067 42.4371821)
324,2-0021075,11/20/19,5 CENTER ST,SGS,DW - Drinking Water,42.436002450000004,-71.50878655427982,0.915,2.14,0.85,1.7,5.22,10.8,1.88,1.41829052752096,6.59,3.42,0.355,0.355,1.7,POINT (-71.50878655427982 42.43600245)
325,2-0021075,11/21/19,10 CENTER PL,SGS,DW - Drinking Water,42.435897499999996,-71.50743296785544,0.915,3.8,1.0,2.0,6.0,11.2,2.37,0.0171603423406965,8.17,3.43,0.355,0.355,2.0,POINT (-71.50743296785544 42.4358975)
326,2-0021075,11/21/19,15 CENTER PL,SGS,DW - Drinking Water,42.43565785,-71.50783423702907,0.915,6.48,0.95,1.9,5.0,15.4,23.4,1.15826693564753,6.57,10.0,0.355,0.355,1.9,POINT (-71.50783423702907 42.43565785)
327,2-0021075,11/21/19,19 CENTER PL,SGS,DW - Drinking Water,42.435385249999996,-71.50779662272404,0.915,5.93,0.95,1.85,13.7,23.3,1.91,2.23,18.9,18.1,0.355,0.355,1.85,POINT (-71.50779662272404 42.43538525)
328,2-0021075,11/21/19,2 BOX HILL RD,SGS,DW - Drinking Water,42.43441825,-71.5051275873953,0.915,4.79,1.0,2.0,8.42,13.2,7.25,0.0182190732608408,14.2,5.85,0.355,0.355,2.0,POINT (-71.50512758739529 42.43441825)
329,2-0021075,11/21/19,360 GREAT RD,SGS,DW - Drinking Water,42.4363486,-71.50457073334042,0.915,48.9,0.95,1.85,18.6,85.1,175.0,1.24337580171652,19.3,23.0,0.355,0.355,1.85,POINT (-71.50457073334042 42.4363486)
330,2-0021075,11/21/19,368 GREAT RD,SGS,DW - Drinking Water,42.43671659090909,-71.505886,0.915,27.7,0.95,1.85,12.8,56.7,98.7,0.879286092470064,15.1,23.1,0.355,0.355,1.85,POINT (-71.505886 42.43671659090909)
331,2-0021075,11/21/19,394 GREAT RD,SGS,DW - Drinking Water,42.436648,-71.507273,0.915,3.14,0.95,1.85,4.72,8.82,2.11,0.822123880782865,8.2,2.4,0.355,0.355,1.85,POINT (-71.507273 42.436648)
332,2-0021075,11/21/19,398 GREAT RD,SGS,DW - Drinking Water,42.43651,-71.5079051766412,0.915,3.27,0.95,1.85,6.81,12.1,1.96,0.76909866064564,9.85,5.79,0.355,0.355,1.85,POINT (-71.5079051766412 42.43651)
333,2-0021075,11/21/19,441 GREAT RD,SGS,DW - Drinking Water,42.436786,-71.51209,0.915,1.12699322697768,0.95,1.85,1.31283048539547,0.0401595728260676,0.578978400103846,0.719847592966121,2.55,2.66,0.355,0.355,1.85,POINT (-71.51209 42.436786)
334,2-0021075,11/21/19,441 GREAT RD S,SGS,DW - Drinking Water,42.43717235,-71.51197169049314,0.915,1.96,0.95,1.85,0.257071530534756,0.488733917453193,0.0032118690842667,0.173157152517846,4.9,4.3,0.355,0.355,1.85,POINT (-71.51197169049314 42.43717235)
335,2-0021075,11/21/19,7 CENTER PL,SGS,DW - Drinking Water,42.43615705,-71.50774117970036,0.915,11.0,1.0,2.0,10.1,27.4,30.3,0.0176856604472256,10.1,5.62,0.355,0.355,2.0,POINT (-71.50774117970036 42.43615705)
336,2-0021075,11/21/19,72 BOXBORO RD,SGS,DW - Drinking Water,42.4440139,-71.50621075492936,0.915,3.87,0.95,1.85,5.77,17.1,5.12,1.00770165678437,12.1,8.02,0.355,0.355,1.85,POINT (-71.50621075492936 42.4440139)
337,2-0021075,12/04/19,6-8 CENTER PL,SGS,DW - Drinking Water,42.4361575,-71.50738775688615,0.915,4.08,0.95,1.85,8.19,17.9,4.85,0.0096599220086911,8.47,2.98,0.355,0.355,1.85,POINT (-71.50738775688615 42.4361575)
338,2-0021075,12/04/19,84 BOXBORO RD,SGS,DW - Drinking Water,42.443889299999995,-71.50850612837687,0.915,1.95,0.95,1.85,0.0378648801870499,0.557614677914437,4.78,0.0115412140204034,0.162600143196615,2.99,0.355,0.355,1.85,POINT (-71.50850612837687 42.4438893)
339,2-0021075,12/05/19,22 GLEASONDALE RD,SGS,DW - Drinking Water,42.43486465,-71.50495855663858,0.915,4.99,0.9,9.0,5.21,12.4,12.6,0.613623006252876,11.5,5.51,0.355,0.355,9.0,POINT (-71.50495855663858 42.43486465)
340,3-0036649,01/11/21 10:45,MW-3,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,0.910260330146123,0.91,0.91,1.11955028768147,1.26566959999957,0.515005489015376,0.714286070693323,5.19,3.44,0.19875,0.2335,0.91,POINT (-71.37739947558418 42.6285457)
341,3-0036649,01/11/21 12:40,MW-2,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,3.08,0.93,0.93,11.8,14.4,27.5,2.98,26.2,19.3,0.19875,0.2335,0.93,POINT (-71.37739947558418 42.6285457)
342,3-0036649,01/11/21 15:20,MW-1,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,2.85,0.915,0.915,15.0,13.6,11.6,19.5,55.6,555.0,0.19875,0.2335,0.915,POINT (-71.37739947558418 42.6285457)
343,3-0036649,10/07/20 10:30,MW-1,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,2.86,0.2739999999999999,0.2755,11.7,10.6,11.8,4.25,21.5,75.8,0.19875,0.2335,0.347,POINT (-71.37739947558418 42.6285457)
344,3-0036649,10/07/20 11:40,MW-2,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,3.04,0.2755,0.2769999999999999,4.28,5.0,4.62,2.05,15.2,31.3,0.19875,0.2335,0.349,POINT (-71.37739947558418 42.6285457)
345,3-0036649,10/07/20 13:10,MW-3,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,1.07,0.296,0.298,2.1,5.18,2.39,0.0657775450409823,7.5,1.62,0.19875,0.2335,0.375,POINT (-71.37739947558418 42.6285457)
346,3-0036649,11/20/20 10:40,MW-1,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,0.534,0.286,0.288,2.48,1.886,1.388,2.8,7.32,93.2,0.19875,0.2335,0.19,POINT (-71.37739947558418 42.6285457)
347,3-0036649,11/20/20 12:05,MW-2,Alpha,Water,42.628545700000004,-71.37739947558418,0.258,0.313550095295588,0.294,0.2955,7.48,7.19,8.32,4.45,22.5,22.9,0.19875,0.2335,0.195,POINT (-71.37739947558418 42.6285457)
348,3-0036774,04/13/21 10:15,CE-9,Alpha,Water,42.27037995,-71.3115853554824,0.258,3.72,0.89,0.89,3.2,4.45,0.0034642576657458,0.0039307520531949,9.23,5.26,0.19875,0.2335,0.89,POINT (-71.31158535548241 42.27037995)
349,3-0036774,04/13/21 10:25,CE-10,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.58,0.955,0.955,0.789860951487672,0.475610782062216,0.522399281192969,0.191385898145568,2.03,2.76,0.19875,0.2335,0.955,POINT (-71.31158535548241 42.27037995)
350,3-0036774,04/13/21 11:05,CE-5,Alpha,Water,42.27037995,-71.3115853554824,0.258,1.92,0.885,0.885,0.0205629596581381,1.78,0.0127439430551847,0.0081562819087699,3.94,4.52,0.19875,0.2335,0.885,POINT (-71.31158535548241 42.27037995)
351,3-0036774,04/13/21 11:10,CE-11,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.125151923816278,0.945,0.945,2.5,3.11,0.0129152418876922,0.0126492862382238,7.07,4.96,0.19875,0.2335,0.945,POINT (-71.31158535548241 42.27037995)
352,3-0036774,04/13/21 11:55,CE-3,Alpha,Water,42.27037995,-71.3115853554824,0.258,1.18908387016251,0.88,0.88,1.08439173646412,1.17437373515581,0.929475961805429,1.87241213248372,2.57,3.82,0.19875,0.2335,0.88,POINT (-71.31158535548241 42.27037995)
353,3-0036774,08/20/20 09:50,GZ-3,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.25540358941356567,0.865,0.865,0.44233701129964836,1.77,3.03,0.1842271874323092,6.01,9.48,0.19875,0.2335,0.865,POINT (-71.31158535548241 42.27037995)
354,3-0036774,08/20/20 10:35,MW-3S,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.4571159914119235,0.865,0.865,4.37,5.2,0.14329705789347194,0.422634413122839,6.66,4.4,0.19875,0.2335,0.865,POINT (-71.31158535548241 42.27037995)
355,3-0036774,08/20/20 12:00,JFK-2,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.57,0.895,0.895,2.41,2.11,2.1,0.849929619990516,5.81,6.65,0.19875,0.2335,0.895,POINT (-71.31158535548241 42.27037995)
356,3-0036774,08/20/20 15:15,GZ-2S,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.2252025410473492,0.88,0.88,0.1682990016295768,0.23284090417291625,1.96,0.09754715321997866,1.96,5.43,0.19875,0.2335,0.88,POINT (-71.31158535548241 42.27037995)
357,3-0036774,09/21/20 09:25,CE-3,Alpha,Water,42.27037995,-71.3115853554824,0.258,11.0,0.89,0.89,0.0394049314985109,1.82,8.53,0.0157776180299976,3.9,11.5,0.19875,0.2335,0.89,POINT (-71.31158535548241 42.27037995)
358,3-0036774,09/21/20 10:50,JFK-4,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.0473011367593268,0.885,0.885,0.0465323910510161,0.0473785422901496,0.0073012353566631,0.0140170164295885,4.05,5.33,0.19875,0.2335,0.885,POINT (-71.31158535548241 42.27037995)
359,3-0036774,09/21/20 12:15,JFK-9D,Alpha,Water,42.27037995,-71.3115853554824,0.258,4.03,0.9,0.9,4.15,7.79,3.31,2.2405510887614,6.91,6.42,0.19875,0.2335,0.9,POINT (-71.31158535548241 42.27037995)
360,3-0036774,09/21/20 13:35,CE-1,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.107613125908364,0.88,0.88,1.9,1.98,0.0130510402962562,2.4,5.12,10.3,0.19875,0.2335,0.88,POINT (-71.31158535548241 42.27037995)
361,3-0036774,09/21/20 14:55,CE-2,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.19,0.885,0.885,2.83,1.89,0.0031167568372724,0.0035800769359644,7.16,6.45,0.19875,0.2335,0.885,POINT (-71.31158535548241 42.27037995)
362,3-0036774,11/12/20 10:45,CE-5,Alpha,Soil,42.27037995,-71.3115853554824,0.51,0.51,0.0176901250352839,0.51,0.127,0.048734225130578,0.127,0.0094200115881002,0.0380863308515219,0.0097374059264315,0.51,0.0219626764298775,0.0087419369968975,POINT (-71.31158535548241 42.27037995)
363,3-0036774,11/12/20 12:00,CE-6,Alpha,Soil,42.27037995,-71.3115853554824,0.5,0.5,0.0488240260310519,0.5,0.1255,0.0194261818155531,0.1255,0.027953967603377,0.0847332491479598,0.0272603339776953,0.5,0.0098243495702486,0.0016747734617161,POINT (-71.31158535548241 42.27037995)
364,3-0036774,11/13/20 08:40,MW-1,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.34,0.885,0.885,4.79,5.42,0.5360310486942784,2.21,10.8,12.7,0.19875,0.2335,0.885,POINT (-71.31158535548241 42.27037995)
365,3-0036774,11/13/20 09:45,CE-7,Alpha,Water,42.27037995,-71.3115853554824,0.258,3.14,0.87,0.87,6.21,10.1,3.9,0.0210848280261024,11.4,9.27,0.19875,0.2335,0.87,POINT (-71.31158535548241 42.27037995)
366,3-0036774,11/13/20 09:50,CE-8,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.455487714489769,0.88,0.88,2.13,3.91,0.17209787160669401,0.2880464674191255,5.52,9.4,0.19875,0.2335,0.88,POINT (-71.31158535548241 42.27037995)
367,3-0036774,11/13/20 10:45,CE-6,Alpha,Water,42.27037995,-71.3115853554824,0.258,3.44,0.875,0.875,1.0161528483822844,3.49,3.23,1.615571517639935,5.3,9.4,0.19875,0.2335,0.875,POINT (-71.31158535548241 42.27037995)
368,3-0036774,11/13/20 10:50,CE-4,Alpha,Water,42.27037995,-71.3115853554824,0.258,3.16,0.895,0.895,2.29,4.23,2.67,0.494137599520642,6.54,11.2,0.19875,0.2335,0.895,POINT (-71.31158535548241 42.27037995)
369,3-0036774,11/13/20 11:28,CE-5,Alpha,Water,42.27037995,-71.3115853554824,0.258,3.38,0.895,0.895,4.22,8.78,2.72,0.6089804207521082,11.5,10.7,0.19875,0.2335,0.895,POINT (-71.31158535548241 42.27037995)
370,3-0036774,12/11/20 11:11,CE-11,Alpha,Water,42.27037995,-71.3115853554824,0.258,1.88,0.895,0.895,3.24,3.99,0.0244585987327566,0.056533000496003,8.63,8.12,0.19875,0.2335,0.895,POINT (-71.31158535548241 42.27037995)
371,3-0036774,12/11/20 12:20,CE-10,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.83,0.875,0.875,2.71,4.85,2.02,0.330305490420524,6.63,7.57,0.19875,0.2335,0.875,POINT (-71.31158535548241 42.27037995)
372,3-0036774,12/11/20 14:20,CE-7,Alpha,Water,42.27037995,-71.3115853554824,0.258,0.629497568263018,0.875,0.875,0.411393207573385,2.47,0.249387355612518,0.189877738085371,4.72,6.84,0.19875,0.2335,0.875,POINT (-71.31158535548241 42.27037995)
373,3-0036774,12/11/20 15:10,CE-9,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.98,0.905,0.905,8.88,17.5,2.43,0.0126492862382238,19.5,6.77,0.19875,0.2335,0.905,POINT (-71.31158535548241 42.27037995)
374,3-0036774,12/11/20 15:50,MW-1,Alpha,Water,42.27037995,-71.3115853554824,0.258,2.63,0.905,0.905,2.6,4.3,2.09,0.25324041396457,7.29,10.1,0.19875,0.2335,0.905,POINT (-71.31158535548241 42.27037995)
375,4-0027571,11/02/18 10:10,B,Alpha,Dw,41.383294946542904,-70.61498967857398,0.258,4.98,2.58,0.87,285.0,362.35,9.93,29.2,170.0,50.3,0.19875,0.2335,0.87,POINT (-70.61498967857398 41.3832949465429)
376,4-0027571,11/02/18 10:30,C,Alpha,Dw,41.38202257912128,-70.61809154105526,0.258,0.782306326367867,0.89,0.89,50.0,48.1,0.303473064289636,0.40400822700048,35.2,0.497459543828412,0.19875,0.2335,0.89,POINT (-70.61809154105526 41.38202257912128)
377,4-0027571,11/02/18 11:20,E,Alpha,Dw,41.38376995453415,-70.61470816686295,0.258,0.0551295194074756,0.86,0.86,27.5,53.2,0.005788880650598,2.38,13.5,2.14,0.19875,0.2335,0.86,POINT (-70.61470816686295 41.38376995453415)
378,4-0027571,11/27/18 09:20,F,Alpha,Dw,41.38367862552327,-70.61684938665296,0.258,4.4,0.885,0.885,174.0,196.0,113.0,0.0702807432186502,93.1,481.0,0.19875,0.2335,0.885,POINT (-70.61684938665296 41.38367862552327)
