FID,SHAPE_Leng,SHAPE_Area,MAP_PAR_ID,LOC_ID,POLY_TYPE,MAP_NO,SOURCE,PLAN_ID,LAST_EDIT,BND_CHK,NO_MATCH,TOWN_ID
79,436.8145273,12287.31977,37-42-1,M_273235_791305,FEE,37,ASSESS,AA,20111222, ,N,327
80,335.3236326,7037.267916,37-47,M_273060_791894,FEE,37,ASSESS,AT,20111222, ,N,327
81,732.598036,25369.60575,37-57-2,M_273468_791331,FEE,37,ASSESS,CE,20111222, ,N,327
82,331.7402873,5760.461359,37-7,M_273134_791819,FEE,37,ASSESS,BY,20111222, ,N,327
83,495.1848859,12414.73304,37-85-13,M_274170_791391,FEE,37,ASSESS,BV,20111222, ,N,327
84,615.0898009,12227.91888,37-85-14,M_274138_791280,FEE,37,ASSESS,CI,20111222, ,N,327
85,454.9206055,7844.289893,37-85-7,M_274252_792010,FEE,37,ASSESS,K,20111222, ,N,327
86,343.7112921,5787.513536,37-9,M_273093_791726,FEE,37,ASSESS,AG,20111222, ,N,327
87,632.3674434,12013.34772,38-7-2,M_273855_790783,FEE,38,ASSESS,BB,20170404, ,N,327
88,355.1556092,6126.475368,37-18,M_273173_791458,FEE,37,ASSESS,CC,20111222, ,N,327
